 	avete	cucinato	le	verdure	</S>
a29	0.204379596	0.291356787	0.2231169434	0.1483462866	0.1328003901
a38	0.2071524714	0.2109762206	0.38097805274	0.168073829046	0.03281945352
a31	0.3010116872	0.17352846228	0.328770697	0.19089187628	0.00579734473292
a11	0.2372672103	0.1219597294	0.342177261	0.2505977658	0.0479980685818
a37	0.18359913374	0.160588523692	0.32059720046	0.27798593542	0.057229237188
a11	0.4006515386	0.15566733318	0.12876865172	0.25795029592	0.056962166612
a31	0.3671658688	0.1659649082	0.1496300656	0.22934844916	0.0878907218
a20	0.154600412	0.3331382814	0.1850632372	0.1933530636	0.1338450348
a31	0.2407657966	0.3143100788	0.147482526	0.0758258636	0.2216157214
a39	0.279670036	0.229644972	0.1352980336	0.1291565312	0.226230452
a13	0.2356715758	0.221275884	0.173399576	0.2157564884	0.1538964516
a18	0.214601316	0.229969799	0.172714076	0.2441808586	0.1385339658
a39	0.2464884756	0.19043601	0.1674497772	0.2568074208	0.138818316
a31	0.248467164	0.17371112	0.166715283	0.273176938	0.137929481
a46	0.1626804512	0.234936098	0.1622236064	0.281029704	0.1591301274
</S>	0.2189375754	0.17384222	0.1459275732	0.292776152	0.168516476
