 	non	li	aspettiamo	più	</S>
a3	0.457337534	0.0532703737	0.126637317584	0.20710122586	0.1556535444
a31	0.41460009804	0.114682860551	0.07771803268	0.1714502714	0.22154873808
a35	0.5945682838	0.170462735981	0.148037539067	0.06772889496	0.01920258848
a31	0.29791689864	0.086610870552	0.073891720352	0.32478729382	0.216793228
a13	0.512461665	0.086689583226	0.139159804127	0.17015266896	0.09153628302
a31	0.2745598568	0.277716653545	0.115373673628	0.2531145668	0.0792352812
a15	0.2597443474	0.22257814042	0.1979771613	0.1072472426	0.2124531046
a31	0.231812705674	0.153628335308	0.16154386376	0.3587680452	0.0942470414
a46	0.2055721032	0.09868303424	0.21179152	0.221984789	0.2619685632
</S>	0.07392227602	0.141402043828	0.156811706	0.389874208	0.2379897444
