 	le	melanzane	vogliono	girate	</S>
a20	0.17635803092	0.3511507006	0.2343675928	0.0637649283	0.174358740198
a31	0.12444393072	0.50092065	0.146705609906	0.1118861662	0.116043648634
a39	0.3289025676	0.419786046	0.06288676242	0.10454982394	0.0838748060862
a41	0.1484816209	0.3020554616	0.0883030972	0.1848212174	0.2763385964
a18	0.09730108082	0.3722394476	0.076410993712	0.2562092074	0.1978392854
a28	0.20253464902	0.3565102476	0.0495942058	0.2666956862	0.1246652382
a13	0.1539257441	0.4484730558	0.02645839124	0.2846213968	0.0865214305
a14	0.16122626084	0.43398105254	0.0858453628	0.211643714	0.107303628492
a39	0.16979170532	0.4043946488	0.1118818436	0.20443355776	0.10949824678
a31	0.17700853912	0.3685225317	0.1686994058	0.1816337176	0.1041357864
a6	0.18221812866	0.301421978	0.1651140018	0.141317235	0.20992865284
a20	0.11635189484	0.248854501	0.230187064	0.175406647	0.2291998772
a31	0.09851482414	0.281518243	0.182540554	0.181582464	0.2558439144
a46	0.0924141034	0.378372389	0.1357548874	0.1473167258	0.2461419144
a18	0.13723267512	0.303844143	0.194469016	0.155089405	0.2093647706
a24	0.16565870508	0.332914335	0.226541278	0.141612684	0.1332730016
a31	0.15628781522	0.31312865	0.278544954	0.1370127978	0.1150257726
a17	0.0990277325	0.346734294	0.1453327284	0.1607777228	0.248127542
a11	0.19452937324	0.333845136	0.182413644	0.1119484702	0.1772633672
a20	0.1988201217	0.326162588	0.202878058	0.1169763312	0.1551629134
a24	0.19114773092	0.3206848766	0.234031336	0.1150777288	0.1390583468
a31	0.186544968	0.305798972	0.25010358	0.144355132	0.1131973766
a37	0.1016881684	0.3034265412	0.160691543	0.1726582348	0.2615354916
a31	0.17094248888	0.323952039	0.18899299	0.114279736	0.2018327254
a20	0.1203343703	0.272235392	0.170291164	0.20322597	0.23391312126
a31	0.19712929176	0.3119737012	0.157920098	0.134815314	0.19816158
</S>	0.1509362508	0.2544986642	0.1652802652	0.203306174	0.2259786633
