 	il	muro	vuole	uno	specchio	</S>
a23	0.1431813388	0.0802928354	0.08781290508	0.1180700306	0.2363934072	0.33424946172
a20	0.115559183949	0.17163478632	0.187221227571	0.06735543718	0.258670582328	0.199558812768
a31	0.3249506392	0.238030685457	0.11540987405	0.05047335286	0.2184973787	0.05263807314
a24	0.18035953606	0.11916800182	0.0935468729026	0.13324263594	0.36997814014	0.103704796678
a31	0.27623135256	0.047545289794	0.163093647441	0.09063886604	0.272788233848	0.1497026195
a13	0.392983828952	0.03059011608	0.123575979548	0.0343503115	0.266341215348	0.152158555826
a39	0.229869504264	0.06408694602	0.145747807365	0.0618010202	0.28861205952	0.209882669838
a20	0.179495567255	0.043046212148	0.149870418814	0.088069492	0.2527773421	0.28674094489
a31	0.2551998578	0.05725760906	0.14392514726	0.17690448	0.1918133508	0.17489957356
a24	0.2051573688	0.08260580026	0.10430101196	0.2185414266	0.295671924	0.09372247394
a8	0.06544001582	0.034831260706	0.08478207868	0.3104600014	0.2683433974	0.2361432466
a31	0.10283119172	0.04263720018	0.11443371896	0.2243128278	0.2647542044	0.2510308426
a20	0.1545775396	0.1109682928	0.10541982084	0.169094756	0.231177312	0.228762275
a31	0.1549387504	0.11485793134	0.14031526806	0.14208416	0.210145099	0.2376588152
a29	0.1258474338	0.1402070264	0.1051822974	0.1856712748	0.209070454	0.234021506
a31	0.1551005574	0.150508867	0.1265739786	0.157396939	0.2038639484	0.2065557176
a8	0.1535862448	0.1310160946	0.0973715188	0.198430163	0.2097471832	0.2098487868
a20	0.1487253357	0.1338670474	0.1341913528	0.167358174	0.211538702	0.2043194016
</S>	0.1618060032	0.169553446	0.0908902064	0.174093504	0.2077581844	0.1958986684
