 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
a23	0.081117884	0.030828142548	0.114754503408	0.039541963948	0.0557172752	0.1524837096	0.183162317	0.342394237
a31	0.0746063062112	0.029584877158	0.109074697604	0.025048988898	0.08568064172	0.23159786004	0.358729552	0.0856771195512
a29	0.01617977186	0.01684288346	0.1106094792	0.070991054726	0.1237393486	0.375626952	0.2345120092	0.0514985214236
a46	0.0373374288	0.0496484936808	0.2678589232	0.100511347828	0.1137896692	0.0581466673	0.3504642436	0.02224321943
a11	0.0226495242	0.06388020292	0.20413996328	0.077292136078	0.1043001335	0.0520783862	0.398106632	0.077553031288
a20	0.04851966298	0.046044264796	0.2131912831	0.044483277916	0.035293448988	0.03999026766	0.45777226	0.114705506
a8	0.149227268	0.085767303104	0.2260058482	0.05175922044	0.05091503088	0.04291515748	0.299889816	0.093520349
a31	0.15134327996	0.124066720354	0.258445746	0.0528466789	0.0424120198	0.0357415344	0.207950704	0.127193313
a38	0.1005422212	0.12855250082	0.2753344254	0.066091091752	0.1004599376	0.0416850184	0.2208991692	0.0664356172
a31	0.2648384096	0.06908600988	0.100397553	0.06968104958	0.1271626734	0.083464873	0.206786142	0.07858330884
a24	0.09193036594	0.11130284588	0.274951361	0.078804818922	0.1207598298	0.0432895104	0.2420635888	0.0368976925
a37	0.1446654432	0.06096763318	0.1078348577	0.05247944296	0.120453494	0.0952832724	0.342479602	0.075836273
a15	0.2123530004	0.13072808706	0.1823130786	0.06936822726	0.1376823532	0.0531908299	0.19523761574	0.019126749
a31	0.2116558766	0.06340994534	0.1435517834	0.0701255884	0.1580935662	0.1300843478	0.1847488138	0.03833004366
a20	0.1394243726	0.13538033577	0.168281632	0.06745371954	0.1730888382	0.0946860886	0.1406216968	0.081063322
a31	0.1733996538	0.12224423068	0.161560099	0.065194664	0.1509141616	0.095194969	0.1695412532	0.0619509788
a37	0.134559612	0.125082456226	0.1617464448	0.07999051838	0.1684980522	0.0639430198	0.118986383	0.147193552
a46	0.1586735564	0.11829512866	0.2462393062	0.077172523	0.0762837308	0.092072145	0.1165222904	0.114741324
a20	0.1433607108	0.07764042724	0.250764872	0.0953319411	0.10892987	0.101931533	0.0942954546	0.1277451804
a24	0.13915843	0.10719232146	0.2394030068	0.0734029238	0.08416736	0.1194614172	0.0996638484	0.137550692
a31	0.122155774	0.09897649366	0.201856052	0.0852945188	0.102311909	0.1413092928	0.115100686	0.1329952784
a17	0.167372155	0.10904495939	0.1576887892	0.07753484112	0.1406653608	0.106673222	0.1083817092	0.1326389574
a20	0.146692831	0.10297753714	0.2637928738	0.0844162288	0.0765346304	0.0926240854	0.083258123	0.1497037196
a38	0.113495221	0.1074479548	0.267578441	0.0840866238	0.0832643312	0.115424124	0.0839216868	0.1447816286
a31	0.1041807982	0.1039621852	0.253809584	0.0866252448	0.0896111152	0.1315338974	0.0880433096	0.1422338602
a17	0.1701918738	0.110520844166	0.1549315412	0.09107275582	0.1305939654	0.09695957	0.114104412	0.1316250806
a31	0.1319441006	0.11545287376	0.2724924268	0.0906926994	0.0820882962	0.08251648	0.0827014208	0.1421117136
a37	0.1491501388	0.12678071517	0.1583613992	0.10174875556	0.1125042284	0.081584076	0.14044651	0.1294241818
</S>	0.1220526792	0.11470004474	0.2713473068	0.0932766492	0.0875088698	0.0825022252	0.0911377076	0.1374745057
