 	un	forno	che	fa	buon	pane	</S>
a31	0.2546096096	0.1620469908	0.0632464774	0.0432477159	0.0430324772	0.1149093168	0.31890739628
a20	0.106211657957	0.19009511696	0.1333009526	0.203224904	0.070075559988	0.1256911692	0.1714006198
a28	0.119004969586	0.204772855149	0.133534324068	0.104451193142	0.096674607076	0.18677690912	0.154785121448
a31	0.100267414416	0.147940511264	0.1532028136	0.13949890445	0.0491776166	0.302539851	0.1073729068
a18	0.128690376748	0.34085127002	0.1831222234	0.08248886346	0.046405619412	0.1228867707	0.095554881006
a13	0.226464934502	0.257184473148	0.1104430696	0.11160489128	0.01886086598	0.1444842438	0.130957534953
a39	0.260726160852	0.32766304526	0.1198242142	0.05257445731	0.05706526345	0.1007102098	0.08143663564
a20	0.414334188741	0.265438267528	0.0617942376	0.028759281974	0.069964123386	0.1104399942	0.04926986214
a31	0.46761144674	0.2258732656	0.0657312526	0.021402836994	0.057727437768	0.09325197724	0.06840176092
a20	0.1670607226	0.270229442	0.1874234372	0.082104268	0.14688015764	0.1007772821	0.04552470248
a39	0.249934533368	0.23933908484	0.1327054802	0.064422875	0.11378171444	0.12952517	0.0702911179
a18	0.22963269608	0.2751338462	0.141119041	0.0824051656	0.1035692152	0.0906965179	0.07744348388
a39	0.2017514832	0.2695393584	0.1410754154	0.093914495	0.0898862346	0.08737968504	0.1164533409
a46	0.171254642	0.2671164648	0.1388480352	0.0907498528	0.1133406496	0.0979257854	0.12076453364
a38	0.1442812964	0.256237308	0.1690166324	0.1072174532	0.1005773608	0.1185186272	0.1041513502
a39	0.1209363264	0.246878956	0.1876471192	0.1052683648	0.1094092376	0.122684576	0.1071754218
a31	0.112750466	0.231215677	0.178873808	0.1286815404	0.121897485	0.119492986	0.1070880484
a18	0.1049688316	0.1575014688	0.1304307798	0.16505569	0.191528808	0.135685142	0.114829275
a31	0.129567276	0.2621824588	0.19059714	0.1088396294	0.0985516364	0.113355102	0.096906724
a41	0.13172022	0.147481055	0.1263368446	0.1736823468	0.144558594	0.132605788	0.1436151108
a35	0.1300626826	0.207391696	0.169319331	0.1281456012	0.12040443	0.1238493768	0.1208268674
a31	0.131638562	0.200900374	0.16580393	0.132402696	0.134578308	0.117110315	0.1175658016
a28	0.157698024	0.1383038908	0.1143218098	0.1647316472	0.133936926	0.13424435	0.1567633578
a27	0.128782267	0.197783068	0.166431818	0.117740864	0.1179693532	0.105086856	0.1662057614
a13	0.1785285506	0.19869601	0.149302235	0.115179012	0.125937262	0.118544119	0.1138128148
a46	0.1820715754	0.195268922	0.1514387288	0.121509168	0.127725838	0.1096546588	0.112331095
a24	0.15152037	0.213739596	0.181233562	0.1231467	0.122449929	0.113901154	0.0940087006
a39	0.1783285972	0.188452898	0.154464126	0.127407148	0.125787092	0.1125732992	0.112986805
a31	0.1861281846	0.21297648	0.173721298	0.1122779092	0.1189043848	0.106844286	0.0891474758
a11	0.162638129	0.130209098	0.121478702	0.167475228	0.146784979	0.1324941612	0.1389197
a31	0.1702476952	0.1784280028	0.1566793028	0.110889797	0.126622022	0.1201825608	0.1369506288
a21	0.1594838068	0.120850371	0.1068115614	0.15799632	0.141457658	0.1431895132	0.170210771
</S>	0.139359699	0.1635379432	0.148072742	0.121626942	0.142685018	0.12858204	0.1561356046
