 	non	ti	dimentichiamo	mai	</S>
a8	0.27416466214	0.3050925882	0.086554372366	0.155142495859	0.17904590268
a31	0.234507176834	0.34947796786	0.192247769418	0.177639272354	0.0461278622812
a20	0.28765712106	0.4130791756	0.21382530868	0.0438516160347	0.0415867885931
a31	0.3353453052	0.1464623334	0.1540366356	0.17953407662	0.18462163012
a13	0.2865040318	0.383661656	0.073643058404	0.08030144982	0.1758898126
a31	0.22884026056	0.2419142754	0.16139163588	0.1870373573	0.180816463
a13	0.2904313782	0.420207672	0.0817687977	0.07036618726	0.1372259944
a1	0.23300360126	0.2887482922	0.167495530226	0.17731626469	0.13343632
a31	0.25803084628	0.3606661494	0.13837285767	0.16206101548	0.0808691312
a41	0.273091158	0.46230234	0.086200224	0.0962637984	0.0821424582
a15	0.199042191796	0.341040598	0.1615353632	0.2193302816	0.079051565
a13	0.19667652882	0.384027968	0.1258935384	0.2077615658	0.0856404128
a31	0.15951739854	0.453548904	0.108656357	0.1735029026	0.1047744254
a11	0.122876391	0.332252612	0.194998982	0.24416558	0.1057064252
a31	0.1553097672	0.348661992	0.1149177548	0.254774968	0.126335515
a46	0.1615000212	0.30410574	0.193892392	0.227735484	0.1127663266
a31	0.1916728196	0.27387226	0.1098757786	0.2545439912	0.1700351548
a46	0.214735405	0.302404072	0.167147316	0.1757572148	0.1399559824
a31	0.2065552432	0.243897474	0.1194032648	0.2334596372	0.196684377
</S>	0.22823658	0.286460404	0.173838294	0.170150022	0.1413146854
