 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.26214949418	0.11851490374	0.14675783254	0.09180316864	0.1038814754	0.10249616414	0.17439694468
a20	0.23688292382	0.1562438828	0.5002802494	0.04056214832	0.04955687214	0.007200647298	0.009273292812
a31	0.02696120228	0.2001480708	0.4379263352	0.1814888061	0.08772243464	0.040573828586	0.025179336272
a37	0.15271890232	0.1396339156	0.500560546	0.03356860672	0.1190156369	0.023595017882	0.03090734272
a31	0.0656543972148	0.24417624444	0.299720344	0.1033663508	0.1425423598	0.12140779654	0.023132507486
a30	0.246601021306	0.1959975876	0.343764512	0.02793397576	0.06643205292	0.0867673293	0.03250353738
a13	0.171221813606	0.1552333342	0.26197394	0.02517545714	0.1869018832	0.1044750562	0.09501849612
a20	0.26713949156	0.1676729354	0.09706495904	0.01340703714	0.25638573442	0.1070040286	0.09132578992
a41	0.28319904002	0.128903977	0.079070643	0.03366630788	0.2604981256	0.120693917	0.0939680224
a33	0.12002858116	0.123193043	0.1286053138	0.0916204838	0.259041105	0.1495627486	0.1279486946
a31	0.08036658704	0.1082514777	0.1132203674	0.0642733036	0.210401366	0.2301458872	0.1933410164
a41	0.07005951098	0.1645943516	0.114044936	0.0568623374	0.259662974	0.2081659154	0.12660995346
a0	0.16147985686	0.1133293872	0.1098058462	0.0689685368	0.190399154	0.232709414	0.1233078108
a31	0.14496296364	0.140881698	0.142812068	0.0878895982	0.1769775312	0.213972839	0.0925033404
a24	0.09153443634	0.17455845	0.1096683016	0.08271458102	0.264248686	0.143715588	0.1335599404
a31	0.15150132186	0.137103216	0.135623001	0.0706581628	0.1591873596	0.1815974592	0.1643294714
a20	0.116589913	0.213217601	0.0991489738	0.0758984395	0.205094866	0.1077671338	0.18228306726
</S>	0.16958547	0.1188593178	0.106055692	0.0608279251	0.1909257576	0.1507478868	0.2029979808
