 	non	mi	aspetti	non	vengo	</S>
a33	0.1232084562	0.06024303236	0.1012823452	0.1255223404	0.3325701008	0.25717376608
a31	0.0639682404812	0.191891391655	0.264232286464	0.06441588866	0.315802086	0.09969014932
a37	0.0486191864	0.094826909352	0.3371838484	0.02240066514	0.3737979942	0.12317141852
a35	0.0239354052	0.0618161446	0.27541314376	0.05987059234	0.3620502954	0.216914425588
a31	0.07427762698	0.06842325758	0.20222813472	0.0409972194	0.337062256	0.2770114836
a7	0.16474660648	0.163218009904	0.179073249848	0.05179471088	0.261926215	0.1792412185
a18	0.10148936886	0.136473901912	0.1643601095	0.07703607366	0.3087271168	0.2119134192
a24	0.0628246362	0.08549696456	0.1677455418	0.0860382182	0.450938272	0.1469563738
a31	0.06563349004	0.107121098032	0.13359883	0.107517335	0.443420794	0.14270842
a20	0.0844126778	0.25274340392	0.1912175884	0.06557940448	0.332956368	0.0730905868
a8	0.049933605512	0.08711528569	0.177266325	0.1580384268	0.40191428	0.125732122
a31	0.08878367254	0.10364368878	0.1558674124	0.0933938818	0.391678344	0.1666329778
</S>	0.113108381	0.11826233426	0.182742004	0.0937420406	0.2590193734	0.233125876
