 	lo	posso	finire	di	fare	</S>
a20	0.37326212324	0.01590074716	0.009206192394	0.065651901904	0.345121733	0.19085730252
a31	0.239104352	0.092315542596	0.213637378889	0.16427090866	0.2400445316	0.050627290208
a46	0.442497169	0.0182422143786	0.202356554935	0.2100497592	0.1108072664	0.0160470125532
a31	0.356148379404	0.019418876912	0.014490452783	0.1024216159	0.42852672566	0.07899393326
a41	0.599427252387	0.0654129833405	0.0480636676613	0.05363274468	0.205102073116	0.0283612936312
a18	0.516201301044	0.036807293746	0.0106618888744	0.11296102452	0.1809503428	0.142418163483
a7	0.4520416618	0.15191402994	0.051525977846	0.0721717104	0.0972086222	0.17513799436
a41	0.42867418	0.1640414556	0.06320912092	0.0779752106	0.134181995	0.13191805928
a31	0.2538493368	0.1921775084	0.0878607978	0.10514947834	0.2098988646	0.15106401732
a0	0.0924022652	0.231801638266	0.06035188712	0.1900598872	0.2206957786	0.2046885346
a31	0.1438286904	0.24601566428	0.1378667158	0.1426349752	0.1960617614	0.1335922072
a39	0.1292349064	0.09221447096	0.0625151752	0.2139704642	0.308500492	0.1935644844
a46	0.1765361968	0.10916631312	0.0878035742	0.134988218	0.316284582	0.175221114
</S>	0.1606738818	0.0938837892	0.094283125	0.1270018784	0.354916592	0.169240734
