 	devo	pulire	l'	albero	</S>
a39	0.1568523002	0.1491582542	0.2014367096	0.2049875868	0.2875651234
a31	0.174368185863	0.080144729416	0.242054151084	0.4823536624	0.021079297972
a35	0.09271922537	0.25279824429	0.2959100014	0.2774435492	0.0811289805121
a31	0.207096162015	0.104566442639	0.144648837	0.4136462504	0.13004230684
a20	0.0294768392888	0.114594487334	0.0966430224	0.702897902	0.05638774464
a31	0.05127445262	0.087041182108	0.2671744944	0.4933305882	0.10117931728
a37	0.030255411226	0.1406148056	0.2956983212	0.458847929	0.0745835118
a1	0.03748937974	0.10180941146	0.3275042676	0.426793378	0.1064035688
a20	0.04704281538	0.0850158184	0.26636016672	0.4337162552	0.1678649204
a31	0.110027051506	0.11658599654	0.251291928696	0.3366932632	0.18540175682
a39	0.0389020579	0.16367388672	0.277364343	0.3741100196	0.14594967128
a10	0.13331629468	0.11164793036	0.3199684376	0.289326803	0.1457405286
a29	0.06793998333	0.2119111412	0.2512390642	0.3342988778	0.1346109066
a46	0.11819676038	0.1716278442	0.301984243	0.293327468	0.1148636714
a31	0.184070556	0.182375417	0.316577866	0.1986039662	0.1183721644
a20	0.1208643718	0.1227759706	0.339288498	0.30163901586	0.11543216264
a13	0.16879226528	0.20336059	0.348586416	0.12742855	0.151832194
a20	0.11538290232	0.208634994	0.387238024	0.162492413	0.1262516772
a31	0.21231394776	0.1913767372	0.295095424	0.1377928658	0.16342103
a11	0.1293087212	0.156836932	0.412189084	0.1542633456	0.1474019203
a17	0.1511831365	0.253184486	0.300240646	0.152316642	0.143075088
a20	0.17169533026	0.232410848	0.302359258	0.1448251552	0.1487093949
</S>	0.2242878764	0.203273356	0.249992204	0.139816341	0.18263022
