 	era	molto	stanco	</S>
a46	0.10671831594	0.262299821014	0.256262476	0.374719395
a8	0.0839525275	0.61465226484	0.0768056171	0.224589610365
a37	0.23245515786	0.50610163264	0.05408657	0.2073566902
a31	0.26189983658	0.3830373166	0.18961811486	0.165444725
a0	0.2889131047	0.3395884804	0.259829511154	0.11166889436
a20	0.148163735	0.3763724458	0.1365035414	0.33896026
a31	0.268880488	0.443256476	0.1392255238	0.1486375204
a39	0.12613627734	0.66485533	0.125359405	0.0836489848
a41	0.1275704022	0.508846612	0.144342937	0.2192401196
a31	0.1166957342	0.507618634	0.1364696452	0.239216
a28	0.08746029694	0.591799228	0.147427944	0.1733125532
a11	0.1781395768	0.3320515016	0.2597787508	0.23003017
a20	0.1597687754	0.352119646	0.2346841692	0.2534274266
a31	0.1677410954	0.348436976	0.247048688	0.2367732348
a11	0.1194302904	0.397051442	0.247342396	0.2361758638
</S>	0.15721004186	0.279462562	0.301545376	0.2617820222
