 	mi	sono	vestito	</S>
a39	0.240460974	0.18100958424	0.3611389006	0.2173905226
a11	0.48455162758	0.2329131401	0.0748444112	0.20769083544
a13	0.581194932	0.07905448866	0.226419768	0.1133307565
a18	0.4655241636	0.0634414118	0.3153087732	0.155725668
a31	0.327037632	0.14836223028	0.3516468388	0.17295325548
a37	0.350543823	0.10630926926	0.408006842	0.1351400648
a15	0.4316620308	0.0715035596	0.3264728218	0.170361612
a31	0.356196132	0.200799804	0.262592644	0.1804114328
a46	0.33197168092	0.1060079356	0.3977055968	0.1643148052
a31	0.1334037122	0.139071807	0.41875217	0.308772328
a20	0.149522129	0.076373161	0.348872726	0.425232018
a31	0.2486288429	0.1154555596	0.368459438	0.267456151
</S>	0.1583126414	0.179060435	0.292087226	0.37053969
