 	possono	essere	ancora	svegli	</S>
a31	0.3079978098	0.0884075478	0.1213480522	0.20123406476	0.281012524
a20	0.321681516576	0.0163782820885	0.38542922162	0.14985673532	0.126654224314
a23	0.195489186444	0.0173890209226	0.3878108427	0.182965259295	0.216345704406
a31	0.166539245695	0.040131439822	0.4062970038	0.324553543346	0.06247873262
a20	0.275707661246	0.04252787384	0.35980100816	0.21513987096	0.10682356556
a11	0.350990051863	0.036363093174	0.2958242664	0.1920483202	0.12477427388
a20	0.3351797882	0.059242618886	0.2992826724	0.1295950202	0.1766998922
a31	0.309508740706	0.037988763258	0.2538260836	0.1960576904	0.202618727
a37	0.1549255572	0.06109102506	0.2960481432	0.27537362	0.212561666
a31	0.22226111628	0.08506394842	0.257244435	0.18700624	0.24842426
a11	0.3103339408	0.1364641886	0.168145788	0.1754061106	0.2096499642
a46	0.2266470624	0.158782576256	0.168739028	0.253295602	0.192535718
a31	0.209186973	0.23818421448	0.120824976	0.2375949476	0.194208898
a46	0.2547504852	0.1965819856	0.132470264	0.209641781	0.206555473
a31	0.1401524868	0.18838079006	0.1614868952	0.292878098	0.2171017372
a20	0.303235274	0.1937193284	0.15008252	0.1642887848	0.188674096
a28	0.167159938	0.1782947138	0.1608400582	0.2845503186	0.209154918
</S>	0.232146652	0.1831409874	0.1146594292	0.260894526	0.2091584412
