 	mia	figlia	vuole	andare	</S>
a46	0.1918168918	0.2764562532	0.19694170468	0.16154594104	0.1732392103
a31	0.3550174109	0.22014930206	0.120241267402	0.24264729432	0.06194473746
a7	0.2542777498	0.33433676294	0.05573703538	0.21393889472	0.141709539653
a20	0.14000143	0.176221591	0.103255146472	0.2763766535	0.30414517552
a31	0.1361595312	0.259061422	0.13013439868	0.2838940546	0.1907505826
a46	0.3021353726	0.28417897034	0.02673458558	0.22330635	0.16364471036
a31	0.21265020748	0.2709028994	0.032901066606	0.3692424236	0.1143033816
a46	0.2308347368	0.447369914	0.0867410823	0.120579401	0.1144748598
a31	0.1700201322	0.3257820048	0.11924240624	0.2773851878	0.107570308
a11	0.1644750204	0.463642472	0.10801390104	0.0910686834	0.1727999639
a3	0.1843042948	0.32685917	0.17297121452	0.13892243	0.1769429216
a31	0.155777079	0.330071824	0.1951545786	0.124905607	0.194090909
a27	0.1188840242	0.3694506952	0.1748940129	0.1357587586	0.2010125344
a0	0.18200683	0.323582532	0.1700836746	0.142860298	0.181466666
</S>	0.1967548688	0.3324795396	0.154161586	0.1336946832	0.182909285
