 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.107559528	0.06594205612	0.0610832164	0.145561643	0.02615183495	0.0612844948	0.1153092434	0.144360712	0.2727472684
a31	0.0112670482252	0.0499980429144	0.115123429737	0.050879947296	0.01997300867	0.1802281506	0.2433989512	0.25504019752	0.074091199866
a46	0.01332342086	0.1869953126	0.1542298526	0.04105364374	0.0097055541	0.1103654074	0.1596807024	0.182019333366	0.142626795768
a8	0.0164614171223	0.137925120321	0.057696206484	0.03346415954	0.0065836354	0.2507919236	0.3106638754	0.145925765572	0.040487933872
a20	0.0211430899413	0.189809094375	0.111268821096	0.14299416364	0.042752844	0.2214706866	0.1268487389	0.094344267566	0.049368305952
a31	0.03535682046	0.121045179666	0.10044067156	0.1399407166	0.04067416554	0.126195218	0.1488099558	0.244102274648	0.04343503334
a20	0.04606460996	0.167919431872	0.1255212525	0.172943021	0.0165197192	0.1244888536	0.170077756	0.1246521666	0.05181316392
a13	0.09431155161	0.102132310261	0.08056824718	0.0583839926	0.02374225922	0.0910205164	0.2069057302	0.2876633404	0.055272042972
a14	0.113882332608	0.20028200021	0.08558734484	0.0376555056	0.01114370212	0.11078641686	0.1460025282	0.22789521566	0.0667649754
a0	0.07537266704	0.134322547576	0.0834246984	0.0601032024	0.0178436853	0.0683681782	0.2209271416	0.2820985598	0.057539336266
a31	0.072996334408	0.0808041593456	0.07046203046	0.0774241924	0.01995545522	0.0698257331	0.2391695512	0.2991101138	0.070252457084
a37	0.0532706808	0.11909885686	0.0750475396	0.12446199486	0.01447372976	0.032389521	0.2980702748	0.2097722944	0.073415122948
a35	0.0343984766	0.10011636746	0.0605036058	0.10102531942	0.04906519656	0.0692097914	0.1785246022	0.3403235472	0.066833074054
a17	0.03222969798	0.237137622933	0.0626828814	0.0849648674	0.03415788854	0.0656359008	0.12527750748	0.3118602358	0.04605336608
a31	0.0355124346	0.183588664306	0.0861007512	0.1072909608	0.0485861794	0.049908544	0.1102760904	0.3368690772	0.041867318
a15	0.0580792971	0.25070108814	0.0573058768	0.093987629	0.021621803	0.0248071718	0.1099297428	0.328323924	0.05524350584
a31	0.05314091084	0.172254483579	0.1199411136	0.092851259	0.0536600884	0.1298688272	0.089627505	0.2021180584	0.0865377631
a46	0.0654530532	0.1751931862	0.0514810078	0.0964512066	0.0544486678	0.0505551234	0.081279403	0.348384696	0.0767536788
a35	0.048449405966	0.206652729855	0.14101791494	0.1174725899	0.0401702194	0.1448873938	0.100335531	0.1516233288	0.0493909144
a20	0.03570050828	0.16497007354	0.11334296	0.17419443	0.0903430432	0.0878075706	0.064799216	0.1940018408	0.0748403876
a31	0.0603438732	0.172962968	0.1027113212	0.1449057048	0.104906944	0.0854458202	0.0659779618	0.1600527492	0.1026926272
a17	0.0799616446	0.2644187214	0.0820151376	0.10685099	0.0662536124	0.0428747306	0.0562418646	0.2355325644	0.0658507122
a20	0.0501283002	0.19757319538	0.1356190036	0.142827009	0.065700089	0.107635162	0.066992512	0.161955346	0.0715694058
a8	0.076073143	0.1578376954	0.125497427	0.17698022	0.1310221428	0.066943346	0.0562954306	0.1224690206	0.08688156
a23	0.05329931286	0.128644511951	0.1081556696	0.2040677468	0.1387908596	0.0753032048	0.0531952474	0.1608073924	0.0777360904
a46	0.05258576814	0.13144821888	0.1096227022	0.178060204	0.1075425112	0.0892602128	0.0574662166	0.167615217	0.1063989702
a8	0.0551151598	0.11942011346	0.1226481284	0.177845214	0.098410052	0.0786721586	0.071232736	0.165072205	0.1115842266
a31	0.0521967929	0.11734287078	0.1076565404	0.179685961	0.1161734606	0.102565218	0.0666087238	0.1697560968	0.088014327
a17	0.0535017718	0.2478395726	0.0785089892	0.1233728258	0.0416235076	0.044261217	0.0707224706	0.229259214	0.1109104432
a31	0.0663860068	0.162073354	0.1388080292	0.1560756002	0.0724271142	0.0739100494	0.0746904048	0.1563912286	0.099238225
a37	0.071644321	0.1994448566	0.0863174304	0.1053794048	0.0621305762	0.053132476	0.075950686	0.250284602	0.095715641
a31	0.0809281352	0.1623825088	0.112939489	0.152815586	0.0932247916	0.0736304196	0.06817031	0.137953776	0.117954976
a30	0.1026472122	0.1265236514	0.074517419	0.1024560514	0.0776371188	0.060269123	0.0950295787	0.245500196	0.1154196588
a21	0.0665667602	0.1345275476	0.1053104276	0.1649811406	0.1130616572	0.07321342	0.0556037318	0.1166713032	0.17006401
a10	0.0600708992	0.1009872204	0.1205458642	0.192297662	0.1483991718	0.0838739664	0.0682227102	0.1365421308	0.0890603846
a39	0.1032296002	0.1114177472	0.1121766472	0.171288957	0.1182927646	0.0776786012	0.0773097092	0.1390135358	0.0895924598
a38	0.0884874538	0.0951656974	0.101882653	0.161998487	0.1381128746	0.0849358992	0.0692884048	0.135461062	0.1246674482
a41	0.1061860318	0.1271831764	0.129310613	0.158880288	0.1142311966	0.0747315718	0.0612282226	0.1265398944	0.1017089722
a18	0.1048137464	0.1391373482	0.138929598	0.166025873	0.1082441792	0.0720900994	0.0617523284	0.1275213964	0.0814854482
a31	0.1047374114	0.139452642	0.140004565	0.1639162208	0.1086947338	0.0716029202	0.0632751654	0.1302283592	0.0780879892
a21	0.0960592244	0.2191191856	0.1002991148	0.1338921874	0.0606068642	0.0652077934	0.0698951848	0.1760790088	0.0788414384
a20	0.0796466476	0.131511109	0.110746756	0.131246456	0.1001778988	0.083548086	0.0794241624	0.143482064	0.1402168222
a31	0.1004658244	0.13953207	0.1343486672	0.167442929	0.1016375248	0.0704461544	0.0653042227	0.121919669	0.098902912
a28	0.0977869634	0.1348538184	0.0781023894	0.1178824322	0.0647764252	0.0702623958	0.0812343596	0.2223448308	0.132756391
a31	0.0957791356	0.123454459	0.1066304238	0.1490044428	0.112924844	0.0856133154	0.077472559	0.134826838	0.1142940112
a17	0.1075268398	0.136597017	0.067479792	0.1097630678	0.062760255	0.0695260438	0.0955332878	0.2036970534	0.1471166264
a20	0.0725848748	0.077532641	0.08771311	0.149560246	0.1327071318	0.0834485412	0.0701332964	0.139042656	0.187277482
a31	0.116639554	0.1326356372	0.110089156	0.148921705	0.080726331	0.0746148782	0.0701218668	0.1222159088	0.1440349612
a37	0.103965389	0.1396555072	0.06992259	0.1067641408	0.0595313004	0.0700169816	0.0931913794	0.2049308048	0.152021904
