 	la	pasta	vuole	sale	</S>
a8	0.147950207	0.3272309098	0.094416752	0.18088612398	0.249515979064
a31	0.20937167308	0.444682196	0.11164634472	0.14329928868	0.0910005121
a28	0.1884808348	0.550666978	0.08054469779	0.091237092166	0.0890704188491
a20	0.1509871228	0.3071999062	0.0907890599	0.30167610306	0.14934780664
a31	0.1060777837	0.340550536	0.12069060994	0.24867466758	0.18400642562
a11	0.274668816	0.41783422548	0.060313559	0.05178066776	0.195402719832
a18	0.1855036316	0.2950594924	0.05285873132	0.3228876348	0.1436904976
a15	0.2431603644	0.3283778108	0.0630681518	0.22741341572	0.1379802372
a31	0.151293051	0.307424432	0.119935029	0.2368616756	0.18448578906
a20	0.1250107034	0.4315620968	0.079427084388	0.2363218541	0.12767825868
a6	0.1321917788	0.3587247466	0.1524191264	0.23308017	0.1235841662
a20	0.1326201658	0.422530296	0.1426474966	0.2092332498	0.0929687748
a21	0.186084217	0.480240594	0.15534836	0.1199552614	0.05837157334
a20	0.2084773752	0.418901394	0.1204931046	0.1762388544	0.07588926066
a0	0.2662024328	0.418299154	0.1063878002	0.1399715378	0.06913907888
a31	0.2904683184	0.389434268	0.0952643352	0.144036807	0.08079627692
a39	0.1336234136	0.45789531	0.117826348	0.1438847486	0.1467701722
a31	0.2821548158	0.37260182	0.100240396	0.1130060586	0.131996939
a35	0.12478768	0.346341624	0.1750623666	0.1582074408	0.19560089488
</S>	0.2565390828	0.335438742	0.1273637014	0.1257505218	0.15490795934
