 	non	sapeva	dove	a	stare	</S>
a20	0.142123601772	0.16060266278	0.2000213	0.0703164076	0.3813541546	0.04558187426
a31	0.164119147091	0.196841686204	0.35632402	0.03382462192	0.150374137574	0.09851640697
a37	0.0585015633014	0.0375532502306	0.46282224996	0.029290710646	0.355650890744	0.0561813548551
a38	0.00700638372	0.00743242434	0.212292720608	0.05143818898	0.608783708	0.1130465774
a31	0.0341369302	0.0447743327	0.42036160206	0.04961657212	0.3099483648	0.14116222547
a41	0.21308353185	0.180757669556	0.2279976524	0.03364890424	0.325653882	0.01885835438
a10	0.1019509782	0.1260815058	0.1357236818	0.13099485054	0.37817475	0.127074261
a20	0.04222898674	0.12701828228	0.0864605828	0.1022774522	0.47733754	0.1646771606
a9	0.01621397364	0.199465784492	0.05883636032	0.13732115418	0.4182544348	0.16990828274
</S>	0.15677672294	0.26158022774	0.0718040252	0.12022439396	0.349072176	0.0405424632
