 	l'	ha	scritta	</S>
a20	0.418193237	0.0967741782	0.2852683608	0.19976424022
a31	0.4804126324	0.34201641422	0.1378513992	0.03971955468
a35	0.6039714811	0.18043955994	0.19983435652	0.0157545617307
a31	0.2308852326	0.17151194406	0.359468798	0.2381340054
a35	0.5605053568	0.31620397212	0.08862808826	0.034662581834
a31	0.136252764	0.37105032362	0.3770254848	0.1156713894
a41	0.4414638508	0.285824845	0.1799143287	0.092796943
a31	0.2556952996	0.28748313148	0.2913592948	0.165462268
a11	0.444230852	0.230753545	0.2093838324	0.1156317808
a18	0.327363416	0.247716685	0.231811336	0.19310856
a13	0.35439594	0.2156602848	0.1767364768	0.253207314
</S>	0.3497070546	0.2139006586	0.1518996032	0.284492694
