 	che	impara	una	cosa	che	studia	una	cosa	</S>
a31	0.2989156538	0.082659274814	0.0516922987	0.16727046634	0.08396141514	0.032961473	0.0765742068	0.09563592	0.11032928746
a24	0.466192637848	0.0117915815929	0.026929068696	0.08628064845	0.21624054734	0.06499764765	0.116395055164	0.006759190996	0.004413622064
a31	0.2079620342	0.0290542794577	0.0465505377705	0.05573104333	0.4278282816	0.106106630439	0.010309344738	0.0658565179	0.050601285584
a20	0.22915611017	0.0233721596149	0.0980989358072	0.083650669168	0.35597473154	0.161876008018	0.008145650383	0.021087796668	0.018637926744
a0	0.299932683683	0.0233260645252	0.0751710751732	0.0853799479	0.3003584928	0.16169028584	0.01779608112	0.01710663467	0.019238702784
a31	0.288305407396	0.0185755243511	0.049530434492	0.10114126514	0.19618592	0.127193804625	0.03727628128	0.1391414188	0.0426499484
a20	0.17071094416	0.0644008992647	0.113424230728	0.13810522324	0.18963820846	0.2002791425	0.0456539744	0.030351912	0.04743549518
a11	0.247213890627	0.089242042679	0.037565371412	0.05958582371	0.2611418317	0.14633702836	0.07975868476	0.04395967314	0.035195639
a20	0.12916065594	0.118547594648	0.07717611214	0.138475585326	0.285222554	0.09442352914	0.0696154422	0.0366773524	0.050701159
a39	0.2640776326	0.0772542055	0.1107067336	0.09367961214	0.2138745232	0.07148878258	0.0921628288	0.0399052792	0.036850399
a10	0.31494895706	0.014176002088	0.04545845864	0.11001589714	0.2461714686	0.07864540114	0.10129203012	0.05469469452	0.03459710962
a31	0.28196544066	0.03890878618	0.0752282193	0.12323607694	0.2321681032	0.03950327842	0.07733884468	0.0649990337	0.0666521895
a20	0.0724235967	0.0940802037	0.11752273606	0.14985304038	0.2868267604	0.0480367748	0.14491351132	0.040726331	0.045617065
a31	0.1137120496	0.10635853312	0.089785321	0.12069892104	0.2186274324	0.04934364748	0.1322786772	0.0955869888	0.0736084312
a11	0.0831273882	0.14646881404	0.0781252298	0.12122601342	0.2404118532	0.04572401548	0.1704355992	0.0469990726	0.06748200888
a20	0.071078245	0.12601745992	0.05933187568	0.10631445472	0.2550155292	0.05974045846	0.1218382042	0.0881512338	0.1125125818
a39	0.1006774592	0.1414006542	0.0850367884	0.12131596712	0.1943891724	0.0519712174	0.117015379	0.0911960238	0.096997369
a20	0.1036137616	0.1056174127	0.0774947112	0.1043840898	0.195815702	0.0678737116	0.1272165456	0.111985016	0.105999018
a31	0.1121337944	0.10148649846	0.0977943486	0.0828172094	0.1764209316	0.0673337046	0.1178474132	0.1123986808	0.1317674114
a46	0.0925543668	0.0994550522	0.1000318474	0.1140513909	0.223943472	0.06101196386	0.11646429194	0.09528967392	0.09719791916
a31	0.1150028082	0.1062783295	0.0685888084	0.0804467668	0.20123756	0.07716960472	0.112090352	0.107486148	0.131699657
</S>	0.1282759668	0.1142379556	0.102968895	0.06306381316	0.2123447542	0.0596612319	0.10327986606	0.11386256326	0.102304953486
