 	ancora	non	mi	sono	vestito	</S>
a8	0.156441578	0.0738409744	0.0485655014	0.1074706664	0.2498537692	0.3638275264
a31	0.31859395088	0.21555457628	0.15749700296	0.01158579816	0.07101877628	0.225749930459
a10	0.1934939814	0.1943090218	0.22075703592	0.01085443632	0.340755273	0.0398302632488
a31	0.2332627492	0.1173406752	0.30202853614	0.04900566292	0.2457167252	0.052645631
a18	0.3336222063	0.1452200736	0.16609652786	0.01358663544	0.21014311788	0.131331456
a31	0.15725908846	0.1083465747	0.2570590771	0.127678559256	0.2100482794	0.13960842516
a20	0.27489878132	0.1035873891	0.126842454	0.0938878764	0.189203287	0.21158022568
a31	0.15420113506	0.08121136898	0.16391810146	0.1266106456	0.2193592424	0.2546995316
a13	0.2517006592	0.12215415	0.1215174826	0.1585737674	0.2093356734	0.136718289
a35	0.2380752766	0.06648948596	0.07406838336	0.15109788	0.2418386592	0.2284303168
a39	0.299168319	0.04574821612	0.05203625846	0.1134439806	0.2503350528	0.2392681712
a46	0.111700553	0.0896133076	0.1332565652	0.1493107966	0.281014841	0.235103902
a31	0.1193397652	0.0865709346	0.2146233354	0.1675699366	0.2164437988	0.195452262
a20	0.2111634426	0.1037331358	0.1698986526	0.151720664	0.151702716	0.2117814308
a31	0.1458215686	0.108217836	0.1687312336	0.1541795028	0.2025321698	0.2205176312
a39	0.098532732	0.1017973652	0.11709097	0.261404202	0.1949362282	0.2262385206
a31	0.1166204154	0.1610260598	0.1572609086	0.144425822	0.210362174	0.210304601
</S>	0.1132388168	0.128642166	0.1167648048	0.198070286	0.215821594	0.22746231
