 	forse	sono	usciti	</S>
a23	0.14662201518	0.2557602918	0.4153180988	0.182299598228
a31	0.521981652906	0.2274396342	0.1126372456	0.137941459296
a23	0.284018569193	0.225739273188	0.4727361106	0.0175060458261
a31	0.463322228	0.125225016722	0.24557508318	0.165877684626
a10	0.48390107152	0.11147719874	0.378233246	0.0263884838
a37	0.59990956	0.149586268933	0.156301824	0.094202312572
a31	0.4298624468	0.260801075318	0.0995007732	0.209835727662
a37	0.2792860158	0.30485489	0.22480854184	0.191050543748
a31	0.54244477	0.13165306292	0.0692961474	0.256606006932
a39	0.22050037	0.4731073977	0.2244302064	0.081961995302
a31	0.224993266	0.2256669902	0.3880471134	0.1612926211
</S>	0.24860167	0.26435238766	0.236321312	0.2507246324
