 	i	genitori	non	è	che	li	dimentichiamo	mai	</S>
a31	0.27526229916	0.082213926834	0.0644722924	0.0328009414	0.0431267748	0.04963304906	0.0606166902	0.1759210092	0.21595299272
a18	0.35510310127	0.029506927439	0.02884871738	0.0544773604	0.1312489792	0.308195288932	0.072127621876	0.0147161372414	0.005775905083
a24	0.201224107679	0.007492587064	0.01587507532	0.08190753652	0.2229937728	0.211549141218	0.094051957716	0.0595368468957	0.105368984387
a31	0.189135953001	0.014676627284	0.00993964132	0.06145066528	0.302796308	0.28320064132	0.07838432954	0.0327954951672	0.02762032727
a37	0.227632161098	0.05755982084	0.076936743232	0.13141321862	0.2038055652	0.20909124812	0.029031141838	0.019843337594	0.044686795712
a0	0.281077131922	0.023593521872	0.07832941204	0.117323157	0.19593073	0.0829518836	0.12643399202	0.05753172951	0.03682843378
a28	0.399731975752	0.024279389664	0.062115892	0.0852707372	0.1124327406	0.17791613882	0.10380358272	0.022026754892	0.0124228006
a18	0.423628871436	0.0435458134	0.04911074412	0.09165888434	0.097005507	0.110857378988	0.1320422102	0.02817661756	0.0239739522
a31	0.38382733866	0.066148098686	0.0765379407	0.11143103658	0.1066132179	0.06373781616	0.0842747855	0.06556011784	0.0418696677
a37	0.1950200354	0.06979392106	0.11283610052	0.0997572062	0.203079379	0.12144348094	0.13016682942	0.037772426	0.0301306407
a20	0.25685901804	0.057340946254	0.0602884216	0.0866894375	0.149953708	0.08683226922	0.09407914518	0.1207353156	0.087221753
a31	0.276197484	0.03147556741	0.05183141776	0.08554060272	0.2321564794	0.1161600411	0.08480204564	0.0843610554	0.03747530042
a24	0.1648173132	0.05092149502	0.1122382836	0.1477573392	0.2011642468	0.079323935	0.1276584934	0.0738227546	0.0422961082
a31	0.2249378494	0.063537931772	0.0720345628	0.0827334998	0.1303463664	0.08417492072	0.0853217455	0.1411958996	0.1157172088
a20	0.1618379136	0.07520033914	0.0930953148	0.1084714528	0.127378504	0.08943026882	0.1259869338	0.1145753288	0.104023966
a31	0.1462963112	0.060869931208	0.09766820146	0.1379109808	0.1155595432	0.08148540824	0.0866363274	0.185756892	0.08781639
a18	0.193152968	0.1229812808	0.1059424984	0.0763329108	0.101176756	0.09825030398	0.0967158962	0.0989782922	0.1064690938
a41	0.1396489766	0.086854381066	0.12395304584	0.0941592692	0.120336467	0.08411338486	0.0764024346	0.1589210676	0.1156109738
a35	0.1740821508	0.0679796271	0.1268807104	0.0988866316	0.1417315132	0.0861695298	0.0660179908	0.1203953688	0.1178564714
a24	0.191444534	0.0743123967	0.08082044766	0.1028743434	0.162481969	0.08977688168	0.0675977348	0.1082678694	0.122423812
a28	0.214787834	0.062528510968	0.07002589076	0.0972802646	0.1730656928	0.1002281084	0.0763083939	0.106263908	0.0995113692
a31	0.1724746492	0.07308910458	0.0766219178	0.1058212962	0.179862496	0.0934381482	0.0723641686	0.1067450008	0.1195832258
a11	0.2367876018	0.0971538314	0.1369080914	0.0674451106	0.0977460012	0.105782380394	0.0782348005	0.0740949344	0.10584722912
a31	0.15529524	0.0669808134	0.10192522222	0.108438223	0.150201036	0.07376894974	0.0673770908	0.117372352	0.1586410892
a20	0.2599818672	0.0847485876	0.0734345594	0.0586821366	0.0982567844	0.127941211752	0.09283958686	0.0855273693	0.11858787534
</S>	0.1520821622	0.082980493	0.08588258352	0.0735801852	0.1535737028	0.078890806	0.0709187222	0.1148357152	0.187255632
