 	guardate	che	il	ladro	che	il	ladro	è	entrato	da	qui	che	ci	sono	i	segni	</S>
a31	0.051426449064	0.053739302144	0.02603996406	0.015963813532	0.0109654777	0.0074689415	0.0205714681	0.02293073434	0.06191994454	0.02657893282	0.10516645322	0.1104275484	0.07844862994	0.0944786764	0.0965681028	0.11977907253	0.0975264552
a11	0.000812208612	0.005096878828	0.017408104928	0.06498589332	0.036246766418	0.04370002569	0.20348599382	0.033552665706	0.126322832072	0.039945072174	0.018032954131	0.038228645774	0.301089601806	0.034813228388	0.013787846989	0.013340760078	0.009150533774
a37	0.012638042206	0.038129822838	0.00964671256	0.06228001954	0.07705070056	0.12192527536	0.11235060672	0.03260007646	0.08873498356	0.12251160658	0.0226924736204	0.03427439298	0.06061706268	0.0812951687826	0.0307380273547	0.0556873159228	0.0368277165759
a28	0.01787648515	0.015855639052	0.0175813217	0.0594484472	0.0635182358	0.1405226276	0.1193526744	0.0548482018	0.1118134298	0.0813220681	0.025043705046	0.055666947	0.1009475928	0.021818717684	0.021674731771	0.0794853875494	0.013223787504
a31	0.018172020032	0.013492747254	0.01115583576	0.0371697054	0.0408980268	0.0863976804	0.1352008948	0.0760951118	0.1630025972	0.0453199062	0.025966442972	0.0947610342	0.06896017178	0.03415410958	0.041069385749	0.0922486303719	0.015935684716
a21	0.007590946828	0.0020575564234	0.003536822935	0.0114161098	0.02060864402	0.02036531298	0.0821527116	0.0334306554	0.22111816264	0.0238333931	0.0149401751404	0.19305781074	0.088198978314	0.0315905800697	0.0281345958567	0.192574792934	0.0253927503608
a31	0.034626174852	0.013665863562	0.00550371256	0.04661100176	0.02058929226	0.052382341	0.1354551172	0.0752189	0.1878313	0.03493851074	0.0331296082	0.1979169616	0.03593639562	0.05052982066	0.027557791008	0.0280348651528	0.020072312584
a10	0.017378538808	0.00626210816	0.00788953814	0.019625563772	0.02258298974	0.03377120614	0.1077670718	0.057090357	0.1728540758	0.0155280936	0.018526643664	0.19871384322	0.06306321114	0.02528723363	0.036738811028	0.15490427424	0.0420164757
a31	0.011004931354	0.009279234622	0.01419474633	0.07239407779	0.041707497652	0.046364045732	0.1263977248	0.08500197394	0.1273544378	0.0323152889	0.03608301655	0.1910321454	0.078236407168	0.0266483103495	0.05100966177	0.0378713148	0.01310520114
a3	0.012995223714	0.01051697024	0.012267166	0.03422924948	0.02381239444	0.0398618953	0.1055771552	0.04475367	0.10069161808	0.02597063974	0.0243725869	0.16568334052	0.06859177956	0.03121225386	0.0557013032	0.188842237	0.0549204942
a28	0.0089496466364	0.016405499887	0.009331424674	0.03090974774	0.02226347774	0.06776783578	0.15735357954	0.08389219486	0.1586798254	0.0426301695	0.0303048312	0.1691178648	0.05643763592	0.03515627994	0.0384410538	0.05416294472	0.01819601388
a31	0.0778336771124	0.023278775806	0.02030088668	0.03615058334	0.03378143408	0.08341612854	0.09306836628	0.0718543752	0.1475264574	0.046827742408	0.03775704576	0.091986435	0.04708978964	0.01848587876	0.04363092068	0.1031194143	0.0238920903
a20	0.016434986806	0.027442451346	0.01212627884	0.02451153392	0.01552917406	0.0241950788	0.2173036072	0.04091007864	0.06786009546	0.02297745892	0.02763279104	0.0903185954	0.0550038928	0.04751814372	0.1208152631	0.1552426196	0.0341779404
a0	0.0060614366352	0.015576136342	0.011699601924	0.0238424684	0.0260331165	0.04909020374	0.2214630406	0.06969995184	0.154852442	0.038762179686	0.0278052566	0.1074487298	0.05221911553	0.04814768049	0.04663254416	0.087770290094	0.01289581089
