 	l'	ho	sentito	che	veniva	</S>
a41	0.2119473566	0.1365424954	0.2796502682	0.135165715	0.1717147312	0.0649794429
a31	0.2212140614	0.2467703926	0.05696192066	0.201880153769	0.16515121371	0.108022299412
a24	0.281437908502	0.0730517586	0.190190217132	0.208698401857	0.213270270836	0.0333514189
a15	0.219097008928	0.0567202495	0.25495709168	0.023556248906	0.179665306588	0.26600409496
a28	0.12881315598	0.339919488	0.2312805166	0.078433323	0.149320535278	0.07223297194
a0	0.18556737192	0.1893887606	0.2262638057	0.1190295908	0.185388807	0.0943616432
a31	0.14369886132	0.2337380914	0.215056638	0.1361674732	0.16246559482	0.10887333758
a11	0.14640091528	0.2092578742	0.2160704082	0.087115714	0.229426746896	0.1117283467
a31	0.1044120007	0.2378477504	0.16914686	0.217571226	0.11571156308	0.1553105866
a39	0.1073113191	0.1923039896	0.1302627198	0.1165016656	0.2218582212	0.231762083
a20	0.1345144344	0.1532908444	0.1729426172	0.150769336	0.1425295014	0.245953296
</S>	0.14861851736	0.1874653394	0.210330627	0.1501831238	0.132976884	0.17042548
