 	sto	e	cucino	</S>
a31	0.2512914098	0.2954110372	0.2271928084	0.22610473528
a20	0.25283992121	0.292280605248	0.2840138745	0.1708656024
a31	0.117762769601	0.492698902	0.29200700812	0.09753132606
a37	0.17244151806	0.4246620624	0.2298348392	0.17306163388
a18	0.11537644102	0.4039391026	0.2923144192	0.18837001012
a31	0.260765251256	0.3504585836	0.2266409092	0.16213526004
a20	0.1331996968	0.2302980512	0.442672551	0.1938296886
a31	0.09371828584	0.368064034	0.4008142772	0.137403413
a28	0.2448177866	0.1573150166	0.427246734	0.1706204392
a33	0.1658021526	0.286913196	0.366463498	0.180821144
a31	0.2036755114	0.333600088	0.300931448	0.1617929424
</S>	0.253624608	0.213217646	0.316406824	0.216750893
