 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a10	0.184575539328	0.0306618548012	0.020227729662	0.0183553284	0.242840703	0.0822078339	0.1187580402	0.22447658064	0.07789637552
a15	0.17555320326	0.188565070544	0.084912217836	0.151322558554	0.137512286	0.09280268596	0.054245637634	0.09662664409	0.0184596612518
a31	0.0792648168	0.05964312998	0.0325515584976	0.07606826074	0.455754238	0.08508037004	0.035194781344	0.16241828809	0.0140245308654
a21	0.05675603438	0.001005586404	0.024688431886	0.019423313552	0.5636270938	0.0618517018	0.09851041052	0.148879992495	0.0252574759828
a31	0.08062574691	0.0259829070566	0.0326794152	0.1354881757	0.301471104	0.2148729174	0.04541181584	0.12315822676	0.040309711096
a8	0.10590559244	0.0274881981168	0.06200448336	0.0978832353	0.4061711874	0.11908272732	0.034607533112	0.132413280792	0.014443747548
a31	0.15918158754	0.0728176128634	0.0875043502	0.0540124792	0.1885440524	0.114118046	0.0747005482	0.19668506024	0.052436253172
a20	0.149999520648	0.064560341154	0.0257698875	0.03177836	0.1633129842	0.0921348493	0.1105622054	0.31143092786	0.05045093636
a39	0.16179758493	0.126731578947	0.05976424074	0.097920722	0.1228791534	0.0955217094	0.0835137132	0.13913162404	0.11273966544
a20	0.2442847857	0.226990275377	0.06818016836	0.0435105392	0.0429050734	0.07011658388	0.10963609874	0.1405844142	0.05379210718
a46	0.2310542609	0.211123466472	0.0649706832	0.04998816774	0.0655923672	0.0639176178	0.08600757926	0.1656123696	0.06173349816
a31	0.2358143942	0.147116303992	0.0618619348	0.0726092692	0.1215856658	0.06940082632	0.09646831214	0.1318421646	0.06330112184
a39	0.13349527574	0.125427098854	0.1163588668	0.1213129542	0.1495516848	0.0508673266	0.0893021224	0.13823335252	0.07545127574
a31	0.128270638	0.136040882821	0.0731862241	0.1163889474	0.128068775	0.0793399454	0.0934023579	0.1511837914	0.0941184396
a20	0.0881367568	0.129794764426	0.1491433244	0.13947282	0.0995006866	0.06777643906	0.08342415714	0.1052675673	0.13748347924
a31	0.15572269	0.081791916502	0.0731823438	0.0903546124	0.0828366794	0.0775549794	0.0937686448	0.1760400676	0.1687480874
a46	0.127163553	0.11056905442	0.1568374062	0.136114848	0.07227448	0.0698968732	0.06917542646	0.0728768708	0.18509147984
a31	0.1430146558	0.0749518231	0.0756204016	0.0861935278	0.087877546	0.068846771	0.07216938	0.1838916984	0.2074341936
a46	0.16406132	0.09260060018	0.1382622276	0.113297729	0.078622532	0.0693043988	0.07186130156	0.076889634	0.19510022216
</S>	0.179482942	0.0719075186	0.0675676278	0.071688422	0.0682894844	0.0583677568	0.062148254	0.2114683862	0.2090796142
