 	dovevo	comprare	il	pane	</S>
a31	0.2169393472	0.1572743404	0.134190679	0.279018836	0.2125768444
a46	0.4083577058	0.28191353886	0.07924474266	0.16172833052	0.068755700792
a31	0.4860998254	0.0679170396	0.11916819654	0.11794119338	0.208873787665
a18	0.54010973904	0.12884268302	0.07038459054	0.07589895822	0.18476405592
a13	0.438287370988	0.161749162	0.0906854178	0.13912972484	0.170148337524
a0	0.524426221006	0.1135084251	0.0900510868	0.1103188398	0.161695477
a20	0.55615496985	0.1335718734	0.0813168616	0.0974147952	0.13154151098
a7	0.5664491046	0.1534965358	0.11583905058	0.076023912106	0.088191404636
a20	0.52184247	0.1248278882	0.1177774702	0.1175476347	0.1180045682
a31	0.480889582	0.1375139022	0.1071541066	0.1254738676	0.148968538
a11	0.455260674	0.1015381104	0.1291595676	0.1659447418	0.1480968916
a39	0.407763	0.2094696748	0.1212373066	0.146780624	0.1147493898
a31	0.37801277	0.1976901692	0.139672196	0.160540004	0.124084883
a13	0.2975819904	0.1159289548	0.129363914	0.276189368	0.1809357726
a17	0.363857574	0.228284232	0.1328305308	0.146119246	0.1289084314
a31	0.329479204	0.22760362	0.1551608456	0.1591622116	0.1285940868
a46	0.183304522	0.149435344	0.163101457	0.316489294	0.18766937
a20	0.28180991	0.215320888	0.175795586	0.1446185848	0.1824550432
a31	0.2405947608	0.175271289	0.181963436	0.236579606	0.1655909024
</S>	0.164788888	0.16376959	0.184160018	0.315584474	0.1716970012
