 	l'	ho	sentito	che	viene	</S>
a34	0.18069659786	0.1872577886	0.193633208	0.1203085434	0.2983483565	0.01975548984
a46	0.065833729702	0.0748955265	0.3114479688	0.192477481	0.209107916604	0.146237400765
a41	0.183276103668	0.21088442836	0.261481346	0.093569378821	0.211330473382	0.039458240074
a19	0.075409788934	0.0996763241	0.152369355	0.08775877328	0.4643764234	0.120409326
a31	0.1538153634	0.2875701017	0.1250701762	0.10850996151	0.25315485274	0.07187956575
a20	0.15491792598	0.22129446692	0.0722162908	0.0876814389	0.4169385098	0.046951403748
a31	0.1283247228	0.2291989908	0.1524076292	0.11122750174	0.2497106248	0.12913056576
a24	0.24765782024	0.2023788074	0.1339072496	0.11832471874	0.24772513514	0.05000629442
a31	0.13361052506	0.2342551202	0.119089032	0.1493222976	0.216520449	0.1472025994
a23	0.13350160984	0.16579079834	0.1622688704	0.0814892038	0.2550959506	0.2018535446
a20	0.15004870628	0.15346698552	0.1682658114	0.1120630946	0.2014685824	0.214686837
</S>	0.1064695634	0.1373440516	0.211952462	0.151224082	0.1759835188	0.217026343
