 	lo	sentii	che	arrivò	</S>
a11	0.53677884816	0.02974585502	0.04806290894	0.0944815285	0.290930891
a31	0.188893663	0.25803168224	0.1656936664	0.1915594964	0.1958215183
a28	0.18085790966	0.03488868612	0.313340153008	0.253168381286	0.21774487452
a37	0.25190505372	0.089784691554	0.297619076748	0.125668289812	0.23502288668
a20	0.2532796926	0.0958292864	0.257823465	0.20403329296	0.18903428694
a31	0.411918159	0.189547842	0.1323254432	0.14168668494	0.1245218341
a1	0.414305092	0.2220488074	0.0657292068	0.2470184062	0.0508984721
a0	0.484460695	0.077678955548	0.0359794254	0.17849746132	0.22338350646
a17	0.3565099048	0.18183449334	0.03574432794	0.196791021	0.2291202604
a31	0.3155631164	0.23841312134	0.1016258372	0.1905079306	0.15389000014
a0	0.212690033	0.2102644842	0.1614324202	0.267424027	0.1481890354
a46	0.23414875	0.1902066136	0.1230842542	0.2278592492	0.2247011
a31	0.193415231	0.210642449	0.1640397314	0.219697064	0.2122055088
a18	0.119887646	0.1947683128	0.198363323	0.238292652	0.24868807
a31	0.1718785912	0.2093634312	0.179227668	0.182995046	0.256535256
a39	0.136117066	0.1551783452	0.206933912	0.257855488	0.243915196
a31	0.151748398	0.17763549	0.1709366448	0.221811676	0.277867806
a46	0.1465923318	0.1596654876	0.190602488	0.282373826	0.2207658872
</S>	0.1614599814	0.173555924	0.124528712	0.264182489	0.2762729128
