 	Marika	è	che	si	sposa	domani	</S>
a27	0.2040176526	0.09992007108	0.0866157954	0.080523306606	0.1298310391	0.205513692	0.1935784592
a37	0.107331424158	0.104135228856	0.3071994015	0.0333677636	0.3268060966	0.100652627794	0.0205074824786
a31	0.27019764968	0.0898183267	0.27753083808	0.10033773677	0.07760532614	0.143562254037	0.040947840548
a11	0.322852993	0.0832863942	0.249674978	0.086760267554	0.0802585794	0.138368857858	0.038797927162
a31	0.1288740893	0.137470312312	0.18187023101	0.16858028434	0.1083206374	0.23224243528	0.042642012832
a37	0.17482621396	0.1581874017	0.155480912	0.09898242334	0.129161596	0.24438490637	0.03897656881
a31	0.05429491428	0.0670148475	0.29768327806	0.105585405	0.0795687142	0.2705347754	0.1253180875
a6	0.08330269168	0.157053525628	0.14608386086	0.11448873316	0.1990088188	0.21913923966	0.08092311948
a20	0.0346659636	0.142997659414	0.1705934395	0.0487278701	0.195525676	0.276258632	0.1312308172
a31	0.0997921508	0.1080041286	0.12561411974	0.0360369722	0.2975373452	0.2125763094	0.1204389636
a20	0.0827203332	0.17529903248	0.1220194726	0.0697509586	0.226511402	0.1954887264	0.1282101158
a31	0.0579672178	0.13094243678	0.0736760668	0.0354270587	0.306228776	0.2567806524	0.1389778168
a0	0.193905718	0.08095473836	0.072576472	0.0681495986	0.183777906	0.1699412186	0.2306943654
a20	0.1346856322	0.1595536588	0.0857475438	0.0921634626	0.1518790968	0.207029012	0.1689416046
a31	0.132083177	0.11271479626	0.0923914488	0.1140314088	0.153246628	0.2066363172	0.1888962114
</S>	0.177567801	0.08032811012	0.0816777756	0.103550611	0.171488938	0.1695070528	0.2158796986
