 	deve	essere	bianco	</S>
a31	0.25978058568	0.15755127822	0.30164168596	0.28102644916
a11	0.659444485136	0.06569187832	0.2062633052	0.06860029226
a31	0.48060916252	0.0967521080454	0.10999472485	0.31264401752
a37	0.62187747403	0.04154931794	0.04460772184	0.291965496066
a31	0.48283667094	0.051977097156	0.1577198276	0.30746639156
a37	0.52041530261	0.05821433038	0.10630252346	0.315067851592
a31	0.41210235366	0.12870880826	0.1491148466	0.310073995
a20	0.387047482	0.191609232	0.2391099122	0.1822333928
a31	0.384251268	0.25886878408	0.2332873832	0.123592589
a0	0.3700269048	0.1139918756	0.27942541	0.2365557694
a31	0.333551674	0.2245970098	0.2909754808	0.1508758222
a20	0.3425903024	0.1511197886	0.2691151414	0.2371747502
a18	0.258865126	0.2248324586	0.313853738	0.2024486794
</S>	0.33159344	0.178751614	0.29177019	0.197884748
