 	prima	di	andare	alla	scuola	</S>
a7	0.096870084875	0.16563361534	0.290417136428	0.0681689647	0.2910231564	0.08788706828
a11	0.175273348829	0.5348874237	0.2140321791	0.010875577664	0.0600074840784	0.0049239951004
a43	0.143348659874	0.405195242	0.3478889242	0.015143444696	0.083742152728	0.0046814868544
a20	0.162975892397	0.2291251202	0.32081142446	0.076370228208	0.16704109088	0.043676271932
a31	0.22356561286	0.2511208334	0.2967197015	0.0443926764	0.1715552514	0.012645963084
a20	0.146390337872	0.3580890084	0.2832624898	0.043511128592	0.142473062934	0.02627401302
a31	0.1955876728	0.3516174812	0.10802433286	0.0650979219	0.1711269626	0.108545614991
a20	0.1591851996	0.419099072	0.1704327413	0.05987004634	0.117616164422	0.073796787602
a31	0.18450527	0.3052060094	0.07025682496	0.08075913771	0.14246382358	0.21680894936
a20	0.1973610412	0.275690868	0.1256891438	0.0942968746	0.1362549048	0.170707166
a31	0.197782628	0.223385546	0.059538108	0.0812857064	0.175110478	0.26289754
</S>	0.182627208	0.151120261	0.0702781912	0.078976407	0.172115193	0.344882718
