 	non	ho	dove	d'	andare	</S>
a20	0.180523486288	0.188602852	0.20384536927	0.158562333987	0.12689953656	0.14156641378
a31	0.0315644075361	0.302112219204	0.2732161448	0.182493780974	0.159720366804	0.0508930464613
a37	0.191694912828	0.1464537868	0.29916698972	0.177034055248	0.171778689	0.0138716232804
a31	0.111720912112	0.14412041644	0.34798346578	0.195673044498	0.07648762692	0.1240145204
a29	0.04272657862	0.1266514246	0.472473139454	0.157376245726	0.157018549346	0.04375410016
a41	0.093846977094	0.24236093676	0.2459280372	0.18161691786	0.0326671928	0.203579917068
a31	0.10628250958	0.3400429404	0.1953114821	0.155060065017	0.05102445074	0.15227850277
a18	0.12645204718	0.370544452	0.31055586934	0.0524994292	0.0434599676	0.0964881905
a31	0.111345435916	0.299792008	0.2076896	0.181442566008	0.0910779028	0.10865250182
a39	0.1070626998	0.1595188442	0.196581039	0.15614161	0.2014097606	0.17928607572
a31	0.10653778214	0.2255870221	0.1087459853	0.22904413	0.1949532144	0.1351318618
a8	0.1455141822	0.0726661512	0.1453666074	0.2176129974	0.2220179572	0.1968221176
a31	0.1575128022	0.1772068725	0.1217425488	0.229617153	0.110475538	0.2034450596
a8	0.1794824112	0.0774475598	0.1538352108	0.2454945432	0.1760603498	0.16767993272
</S>	0.1693020208	0.1667784334	0.137770706	0.2121854856	0.104544272	0.209419066
