 	ora	ho	finito	di	scrivere	</S>
a23	0.1827172275	0.15392447652	0.05133188188	0.08487694228	0.3623782768	0.164771187134
a31	0.301714374082	0.276874908	0.0929321274	0.185372649928	0.095123649934	0.047982284708
a28	0.351200170753	0.239792426	0.068963168628	0.24292927362	0.0932491352672	0.00386584706892
a31	0.192024914	0.233403126	0.054622142824	0.17128763214	0.176727774106	0.1719343994
a41	0.3251680915	0.3704780992	0.05613818947	0.11262133906	0.11795590966	0.01763833532
a21	0.1730897818	0.284919348	0.11899009519	0.1297971072	0.187012906844	0.106190755092
a24	0.2069706564	0.337351146	0.134153362278	0.03490857204	0.0887595534168	0.19785671712
a31	0.255870932	0.207530646	0.162300012992	0.0281856682	0.17228743952	0.173825332
a39	0.247064523	0.410850156	0.13902510312	0.0417091464	0.0944972974	0.0668538032
a31	0.1875928926	0.1508203627	0.16966851051	0.1009078094	0.2765633488	0.11444709106
a28	0.21742268	0.231958313	0.122855068174	0.1481196392	0.133953286	0.1456910422
a31	0.133339899	0.1381519802	0.10039436294	0.1460494058	0.267168166	0.21489615
a20	0.204446556	0.2268646992	0.08647471736	0.179275196	0.1261630438	0.176775784
a37	0.192233486	0.130135798	0.08220867388	0.1074619436	0.3256708872	0.1622892256
</S>	0.157493032	0.155814934	0.096228927308	0.121672417	0.269944226	0.198846488
