 	ho	finito	di	scrivere	</S>
a38	0.2523153762	0.02568965437	0.0710909866	0.4933302588	0.15757370866
a31	0.2444303061	0.276694315362	0.34612079334	0.10404213595	0.0287124297
a15	0.53642015722	0.17510408206	0.21645706502	0.0706425716019	0.00137610812088
a18	0.509803846	0.196517768	0.0789909782	0.157404200946	0.05728322996
a31	0.370497098	0.191813222194	0.1287679288	0.15122187728	0.15769987066
a37	0.432541412	0.27452730304	0.1412234404	0.0810264048	0.07068143686
a31	0.243099797	0.128746035024	0.1181213076	0.2718599255	0.2381729394
a0	0.482966754	0.11934525086	0.1111029776	0.093056326	0.1935286682
a31	0.1775705824	0.119131875654	0.09679997	0.3493963254	0.2571012572
a18	0.285187474	0.1899872698	0.1526541144	0.2353430726	0.1368280782
a31	0.2447618912	0.11561145538	0.0986154124	0.349991934	0.191019308
a39	0.28246094	0.1174618802	0.204443124	0.1982544726	0.197379586
a20	0.243610615	0.1031926427	0.1077934748	0.320440016	0.2249632394
a31	0.2022919476	0.11222128484	0.1235360928	0.307864	0.2540866648
a8	0.248910782	0.134797653	0.217433905	0.1722135356	0.2266441366
a20	0.195181213	0.1209073739	0.1269836214	0.31169849	0.245229314
a31	0.17809855	0.13147928046	0.142091188	0.285727798	0.262603174
</S>	0.230767457	0.1564459008	0.177103609	0.206784144	0.2288989108
