 	non	ho	cosa	è	da	mangiare	</S>
a31	0.0945705606	0.3103962788	0.07297229136	0.0632411924	0.0383985315	0.1167370886	0.3036840314
a8	0.0496092945534	0.102070253748	0.34997230244	0.10183606388	0.076884969544	0.291847526167	0.027779617116
a31	0.0978020298911	0.105490262336	0.149751234456	0.2846297589	0.06570616114	0.27621591648	0.02040462576
a37	0.123831174565	0.17474096635	0.14320214774	0.3149375688	0.06326255768	0.1522180979	0.027807502108
a20	0.0304832160198	0.0538503234	0.165220222108	0.4587801168	0.0668256949	0.18736124052	0.03747919242
a31	0.0994109059972	0.138947561026	0.12898046528	0.2579701894	0.1247205166	0.19347737908	0.05649299414
a17	0.055853670152	0.276423665452	0.1333341409	0.193165814	0.1794718466	0.0923664126	0.0693844445
a20	0.084628370304	0.081502129666	0.097377934408	0.0775707966	0.1551841739	0.2854335248	0.2183030682
a31	0.0935401436	0.1415089088	0.12720492572	0.0543476802	0.189957936	0.2451892164	0.148251194
a39	0.0866018018	0.2121114152	0.0862354296	0.09668984	0.1145098988	0.180223548	0.223628102
a35	0.11696251272	0.0928520368	0.06104903488	0.0657926484	0.14207695216	0.2754038592	0.2458629816
a39	0.0909404912	0.189625841	0.0839629534	0.0937282932	0.12689507826	0.207155796	0.207691593
a46	0.0937744802	0.226153436	0.0766775848	0.1062616556	0.1578217974	0.1905086452	0.148802394
a35	0.1005384548	0.255318108	0.0798197052	0.1031655236	0.1409097148	0.17446494	0.145783572
a31	0.1220169844	0.24560942	0.0868013256	0.113786348	0.1269489956	0.1773386488	0.1274982734
</S>	0.0829914426	0.1476806404	0.0596818792	0.1048429216	0.140576232	0.229852138	0.234374739
