 	non	aveva	dove	aveva	per	stare	</S>
a7	0.030282623058	0.0477679348	0.2554979464	0.0843108735	0.18724788	0.3110179115	0.08387484534
a31	0.10047600412	0.0942529579468	0.510361884	0.03525009228	0.05394179292	0.17480350382	0.030913753824
a29	0.075029690286	0.02818234328	0.38905303788	0.032928917062	0.21470165696	0.25117530876	0.0089290401331
a19	0.004037970904	0.00578391372	0.349163171063	0.02186910378	0.116052770746	0.485851132	0.01724192948
a46	0.058221086613	0.0294768181	0.3147512398	0.04765748712	0.139633498	0.2447241284	0.16553574554
a31	0.220617636694	0.0712194308	0.0827168546	0.086900925	0.1487405966	0.3291168712	0.0606876828
a38	0.0324375593766	0.01884704324	0.15350520378	0.11689339386	0.18790664228	0.444722474	0.04568767592
a31	0.087018943502	0.0154100626	0.07675675028	0.12169903478	0.12082526296	0.4275402758	0.1507496698
a20	0.156524621748	0.11243314456	0.111395855	0.0923062324	0.185717324	0.2226456252	0.1189772035
a31	0.10985341098	0.08337539708	0.0638145878	0.0835878352	0.1184276964	0.359165971	0.181775108
a0	0.260695698802	0.1308328996	0.0788752546	0.0527138682	0.0856134404	0.2340575644	0.1572112954
a31	0.145939643674	0.15646343584	0.0715971564	0.0709759112	0.097285051	0.2967166534	0.1610221406
a46	0.310810657497	0.12494471813	0.0605143357	0.0549094478	0.0662897278	0.2423873602	0.1401437144
a18	0.17889521003	0.1404388381	0.075015473	0.080073889	0.109332611	0.2379244736	0.1783195458
</S>	0.188949031002	0.09969735546	0.075850258	0.102304624	0.1465415802	0.23365446	0.1530026748
