 	hai	già	mangiato	</S>
a31	0.20257510696	0.3016648424	0.3047678024	0.19099225312
a37	0.53959715586	0.36171555882	0.05695561	0.04173169498
a31	0.4839406852	0.268439648411	0.14042870074	0.1071909567
a46	0.313693828	0.4374564514	0.2138478598	0.03500184656
a31	0.3194127532	0.263229968092	0.32336288192	0.09399439984
a39	0.3162310504	0.416959888	0.1874338344	0.07937521318
a20	0.4474179752	0.0619852346	0.2862829272	0.204313858
a31	0.41648361	0.1699270016	0.2588515304	0.15473782652
a46	0.563269912	0.258308564	0.0735059332	0.1049156391
a31	0.315684254	0.310421632	0.215363032	0.1585310768
a18	0.430458356	0.2843847	0.1440570924	0.141099862
a24	0.272339796	0.319214736	0.209290916	0.1991545732
a46	0.284813406	0.255853228	0.245938654	0.213394692
</S>	0.345831476	0.265395098	0.2229614892	0.165811963
