 	sono	vestita	</S>
a31	0.3490509234	0.2825623225	0.3683867708
a20	0.367765657993	0.29962574173	0.3326085966
a31	0.410878078591	0.42836989148	0.16075201788
a41	0.459556191787	0.461489217376	0.0789545748
a46	0.061384858244	0.494970392889	0.4436447494
a18	0.24891652066	0.445979510512	0.30510395
a24	0.4204580346	0.2850467526	0.294495204
a31	0.390788207	0.2556018994	0.353609884
a11	0.2484874406	0.424511228	0.327001322
a0	0.395201576	0.371495252	0.233303168
a15	0.3573541542	0.392726103	0.2499197588
a8	0.3350912606	0.351444838	0.3134638934
a39	0.439578882	0.40044783	0.1599732666
</S>	0.3272964486	0.4308625	0.2418410812
