 	ha	che	sono	usciti	</S>
a31	0.08105590052	0.101268069	0.2361481838	0.5205735796	0.06095426686
a13	0.39820322218	0.1357998698	0.2124918655	0.225713623	0.027791425084
a8	0.12773216982	0.2796417561	0.06849825954	0.50525469954	0.01887311322
a24	0.06478165682	0.18757018294	0.025894376112	0.5438841062	0.1778696854
a31	0.17703773932	0.209735915	0.0597136432	0.3591237968	0.1943889328
a0	0.3085887993	0.1757941934	0.060191393	0.2497271088	0.2056984551
a31	0.21628350972	0.0910258788	0.081369773	0.37005459	0.2412662714
a8	0.162019919	0.0999778582	0.095591252	0.434069538	0.2083414436
a23	0.1587848258	0.07545172554	0.0705558068	0.534377216	0.1608304618
a8	0.11290722446	0.07407499716	0.0843598158	0.507923864	0.2207341006
a23	0.1208633332	0.0856952622	0.100978664	0.493726422	0.198736297
</S>	0.16281152566	0.1051933662	0.117992302	0.417820966	0.1961818598
