 	da	da	un	famoso	poeta	</S>
a31	0.17259748126	0.095242948264	0.07382889312	0.144928347492	0.38088232481	0.13251999144
a37	0.030694382942	0.061671777564	0.6355834634	0.102346526313	0.156898951625	0.012804936252
a31	0.038173660288	0.112787179267	0.483630434	0.145297895592	0.16857543539	0.0515353768038
a28	0.091228514128	0.0640130596434	0.5672706346	0.0438314387268	0.189822067242	0.043834275
a31	0.021243537266	0.0634009007252	0.4908216106	0.0884434799726	0.180689286384	0.15540118418
a20	0.20746205162	0.14044473647	0.1758170148	0.018751250232	0.184154054373	0.27337090594
a13	0.29244962538	0.087509682876	0.26038385388	0.0710400911	0.061095245608	0.2275215362
a39	0.31054979909	0.162446807087	0.220125997	0.06299725234	0.049483360626	0.1943968184
a31	0.224412803362	0.183819307927	0.2510502584	0.0985792542	0.090220641756	0.1519177406
a35	0.19738806034	0.125882886072	0.2209128774	0.134107016	0.19159244612	0.1301166876
a31	0.144183824648	0.135367627628	0.1667711304	0.251723571	0.1564544635	0.1454993816
a17	0.1191608912	0.1099632289	0.179319753	0.1871546702	0.189990372	0.21441108332
a31	0.10717458968	0.148776049468	0.149447248	0.18900974	0.213350116	0.192242262
</S>	0.17371995	0.1165405474	0.180094677	0.154423526	0.169780952	0.2054403296
