 	voglio	che	Maria	venga	domani	</S>
a20	0.2456763042	0.0954980409	0.038920820662	0.10436303312	0.169110159	0.34643167116
a21	0.184815018468	0.23146059806	0.00752316679	0.283710006464	0.04222729184	0.250263918466
a31	0.11318771146	0.2060692592	0.249928487548	0.256344445054	0.149125534834	0.0253445536014
a37	0.224019483451	0.230463213	0.177344381683	0.241231994317	0.105188389547	0.0217525488629
a31	0.1682576034	0.3898146878	0.157430065319	0.134421154923	0.10545626756	0.04462022804
a35	0.37399218274	0.2561695572	0.196848383881	0.061309216674	0.05179615562	0.05988452042
a31	0.16539340943	0.2769796138	0.122478391684	0.172640385214	0.0796539168	0.1828542556
a20	0.2297806094	0.1669349052	0.133597617086	0.19911277	0.1700806614	0.1004934528
a31	0.2705057242	0.129888153	0.062256894406	0.2243454184	0.1690860882	0.1439177098
a18	0.204953769	0.1727791898	0.1112905677	0.240493855	0.1734988118	0.096983814
a31	0.11412044	0.2016552798	0.049912591528	0.1750883654	0.272320827	0.1869025024
a3	0.2535490564	0.118671741	0.08372196552	0.2093516968	0.18898588	0.1457197022
a13	0.1576933454	0.2034021294	0.08181553118	0.133964628	0.243181278	0.1799431198
a37	0.115835571	0.2218268452	0.10173814696	0.131997408	0.273607928	0.1549940728
a46	0.0705534408	0.14498703	0.1340063892	0.148551196	0.315790594	0.186111368
a31	0.087823322	0.192751845	0.15513273992	0.131864462	0.271985974	0.160441652
a18	0.2312894364	0.1442668408	0.13320663286	0.1456604534	0.1499966694	0.19557995928
a46	0.1194276788	0.2075298124	0.0872553402	0.122922734	0.2621300538	0.200734388
</S>	0.132760471	0.239726272	0.1523628503	0.107606072	0.2114125948	0.1561317564
