 	non	ha	da	mangiare	</S>
a31	0.299456669	0.1011746424	0.134507427	0.262145658	0.20271561156
a20	0.2642885596	0.3088133312	0.18409941534	0.1308523582	0.11194634506
a31	0.1848677	0.15251175854	0.14046420892	0.3853086544	0.1368477356
a41	0.36556627	0.1188774062	0.08692992784	0.2242084826	0.204417965222
a10	0.03319007411	0.15750332154	0.13477291588	0.4525114176	0.2220222462
a31	0.1870611794	0.1253646912	0.09819460464	0.326453556	0.262925993
a15	0.343566512	0.2390622382	0.0612566874	0.232268818	0.12384573326
a31	0.12785231344	0.17370951802	0.19403801288	0.307650154	0.1967500112
a39	0.226208532	0.168773552	0.1532836286	0.223684786	0.228049508
a37	0.15761969466	0.161125846	0.1702128612	0.2677712424	0.2432703808
</S>	0.172467744	0.1678566796	0.1493892018	0.23478446	0.275501948
