 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.07822229954	0.163927208656	0.06136430544	0.11627806484	0.06341649134	0.19274104548	0.0896667948	0.234383763086
a27	0.113692295336	0.227637640632	0.15738727696	0.10919414756	0.11238524388	0.05122400068	0.13591787672	0.092561507523
a8	0.048436601164	0.128955523	0.06363916	0.1183102738	0.06002291168	0.09066750184	0.4062774096	0.08369064
a28	0.0290388020772	0.121811055884	0.050840615	0.1622261261	0.08818741022	0.14592511506	0.37071821	0.03125264684
a31	0.09979009008	0.2047437484	0.1332269238	0.1648613676	0.02192947674	0.04881800566	0.28021379886	0.04641660014
a24	0.11239194042	0.1513122654	0.1069173392	0.2503717186	0.0638479152	0.04517536658	0.2498923148	0.020091166468
a31	0.12422557379	0.22741590294	0.1588855204	0.2435205492	0.04322009566	0.05867721746	0.0956345813	0.04842057796
a10	0.03438472444	0.14348720112	0.0979467502	0.2863546188	0.157347502	0.06979777768	0.166352149	0.04432930192
a20	0.097822028694	0.2231025744	0.1045833375	0.182835478	0.0382985855	0.04850871556	0.2625129304	0.04233635734
a31	0.09968899395	0.2266717886	0.0801754272	0.21044895	0.0814209251	0.06530276594	0.200483564914	0.03580756086
a39	0.0625818268	0.2682574352	0.0521417852	0.19887201	0.11583774352	0.07444150086	0.19481992792	0.03304775614
a31	0.160481708252	0.3092010396	0.0502794876	0.1062052642	0.07067796016	0.04214581616	0.18947392347	0.0715347785
a18	0.2024213824	0.2210230338	0.0562951516	0.1198976118	0.05459028516	0.0987926189	0.13209068106	0.1148892178
a31	0.099836973	0.308444851	0.0954619646	0.1392809238	0.0865331271	0.052626609	0.10648892506	0.11132663092
a17	0.276379537	0.2010466919	0.044078121	0.1081266918	0.04593040456	0.07550225922	0.07177022246	0.17716609338
a31	0.0748957046	0.245203836	0.0995350696	0.159603278	0.0756558524	0.05501120276	0.0889563984	0.2011386576
a8	0.225850565	0.1787084586	0.0461876354	0.1189397068	0.052029377586	0.10271373402	0.08948120712	0.186089326316
</S>	0.0699513844	0.201895482	0.1273956554	0.190362244	0.0771149753	0.0621354539	0.0790075402	0.19213726086
