 	si	è	rotta	la	coppa	</S>
a31	0.04042240696	0.12420185958	0.15366430994	0.2707783078	0.2998067842	0.11112634204
a20	0.21351560757	0.23164876546	0.2163941614	0.13822942934	0.182997151	0.01721491944
a19	0.0741454849604	0.0185686687	0.213851762099	0.1311309709	0.5006321686	0.061670938046
a18	0.144457693256	0.0481861845	0.2307019554	0.2263053816	0.30691554334	0.043433253034
a27	0.32707059408	0.0835838904	0.231345537	0.0871082218	0.2046144474	0.0662773002
a31	0.264469772734	0.0879741408	0.1112303664	0.0863901654	0.380418058	0.0695174676
a39	0.1284381295	0.17601874046	0.0796120822	0.1975664366	0.3935567474	0.02480788048
a31	0.1127898726	0.074602819	0.1154845494	0.1883045728	0.371488636	0.1373295498
a46	0.2269004214	0.08738401962	0.1331232834	0.225064102	0.213695296	0.113832869
a31	0.1259655638	0.096389808	0.1447268406	0.300319304	0.154723394	0.177875087
a20	0.142595926	0.12447413226	0.1429269788	0.2371622434	0.116805058	0.23603567348
</S>	0.1469128952	0.1245941808	0.113131904	0.2723359992	0.124187684	0.2188373402
