 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
a33	0.0100138072074	0.100333707	0.0483423806	0.0597198814	0.0694332864	0.071315572316	0.2267207982	0.2388405028	0.17528006082
a31	0.0131373811224	0.0971924049698	0.292550767074	0.10926379876	0.175412085732	0.060128365686	0.02398395737	0.208014898859	0.0203163392512
a46	0.121482389626	0.18089181036	0.1934504068	0.1865939766	0.16982245486	0.0379510494862	0.0824792865	0.01243557548	0.0148930750752
a31	0.0424878421605	0.145201509	0.345195776	0.16554152	0.06122816466	0.1056214288	0.0573721944	0.0535433544	0.02380821878
a24	0.0219934475306	0.223022023248	0.3715347372	0.106964138	0.05190523081	0.057653101464	0.0351732418	0.0817218724	0.05003217754
a31	0.0267964240368	0.112530592454	0.338235448	0.1470773384	0.062979123394	0.09326080532	0.0837529358	0.0658915102	0.069475823952
a37	0.184372308558	0.11221732612	0.329556528	0.1178032994	0.103972840109	0.04181392385	0.0423739535	0.04049816738	0.027391629886
a31	0.0951419137966	0.08188372168	0.368471978	0.105895297	0.071562005252	0.12856295354	0.0767957884	0.03993934648	0.031746990592
a18	0.222619581954	0.10576679622	0.2822326194	0.093782378	0.10797084648	0.04495360024	0.05677969148	0.06141018838	0.024484304328
a31	0.209957171284	0.07795688566	0.2210538128	0.0753977042	0.0486956493044	0.184888053668	0.097670447304	0.04023376496	0.04414650937
a41	0.147390185763	0.0903073674	0.2061405254	0.083394813	0.11313844422	0.1063985566	0.0827948364	0.13580453612	0.03463073756
a31	0.21169925541	0.1063985754	0.2075172318	0.08435058392	0.036917346188	0.2402587762	0.076115742874	0.01875359278	0.017988868962
a21	0.0371382826375	0.0537274908	0.1124490042	0.0923016202	0.1166856722	0.200989771	0.09367056	0.23657732306	0.056460250138
a31	0.135306677254	0.057540296	0.1351286888	0.1178273888	0.0275015451	0.22696541678	0.1122446572	0.15746889054	0.030016427104
a14	0.0440884485512	0.0670192046	0.1160317316	0.1162810364	0.1124114218	0.22804701236	0.1017828856	0.13974398594	0.07459425467
a31	0.122147527566	0.1122940642	0.156174383	0.11834180646	0.0352005692	0.2837938946	0.0660469364	0.0653782504	0.04062252979
a24	0.0427583208534	0.1256875704	0.1622250496	0.104012771	0.0852618806	0.2547814094	0.0962686154	0.05334548792	0.07565891339
a31	0.157871245345	0.10771154128	0.0950385546	0.09189337024	0.0474289242	0.3032176236	0.0491037428	0.0819319432	0.065803062924
a10	0.034192519772	0.113387114	0.1491321018	0.0683790306	0.0830783928	0.2497795648	0.1084950798	0.07289885446	0.120657300938
a7	0.0989570924197	0.110423523	0.0902796882	0.0915950112	0.0567978736	0.295718242	0.0489323418	0.0879437086	0.11935251126
a20	0.0743061873897	0.17244000712	0.068448842	0.07298654732	0.0559436662	0.2733367842	0.0612372652	0.0885012868	0.13279940032
a31	0.0648375301254	0.0908373798	0.0538568332	0.06183498112	0.0935596388	0.2722588226	0.0703093806	0.11117503154	0.1813304173
a8	0.0451428481466	0.06336824132	0.0815015232	0.05144433146	0.0865827972	0.261757796	0.1165420778	0.099241394732	0.194418970069
a31	0.0672966868272	0.1504463197	0.0645118484	0.08374042084	0.0635362936	0.268616162	0.0648605666	0.0783800262	0.158611680256
a33	0.0514419317966	0.0699619207	0.0733545304	0.0595310946	0.0849745728	0.2664394048	0.11564084574	0.10904435548	0.169611372762
a7	0.0600920248668	0.1646013926	0.062513335	0.0745574237	0.057643634	0.2564205922	0.06743525096	0.09512201482	0.161614313892
a31	0.0668930525766	0.09652642126	0.0703741416	0.0775470678	0.0973619122	0.270967368	0.087262509	0.0872251693	0.14584233983
a23	0.0533972597886	0.0744063162	0.0726470514	0.06728788788	0.083374548	0.263460353	0.102019289	0.12272786803	0.160679445697
</S>	0.0748484153224	0.12645376912	0.0659639772	0.07273590186	0.0679758982	0.2536868082	0.0746662624	0.10630005806	0.15736890316
