 	Valeria	legge	il	giornale	</S>
a31	0.4438967994	0.0929948148	0.0656247044	0.2248884168	0.17259524956
a39	0.3247548779	0.211017100312	0.1173991162	0.2382881938	0.1085407402
a8	0.24704477602	0.033552389439	0.18140647053	0.373443349656	0.164553035781
a31	0.23804284436	0.1856380489	0.1772395628	0.276924998014	0.12215454398
a11	0.40493655416	0.226714330802	0.0391172068	0.233768533516	0.095463421128
a13	0.578772790166	0.1166916842	0.08129190204	0.187657631337	0.035586008446
a31	0.466831141624	0.1689902668	0.2311604972	0.108216981259	0.02480114062
a18	0.49466961192	0.21814458767	0.07961824443	0.151636784616	0.055930771734
a37	0.64713972594	0.07246671612	0.06668630284	0.18067059047	0.03303665728
a11	0.6464764626	0.109631641386	0.0712667769	0.0928628061856	0.07976229286
a41	0.67239966492	0.079583656288	0.06926325552	0.089219634569	0.08953380098
a14	0.6639307856	0.095477332978	0.06686775206	0.0817025192824	0.092021622188
a31	0.625636725	0.09208915535	0.07999846552	0.101169640784	0.10110600872
a35	0.516359426	0.082106559512	0.12710754755	0.158194665886	0.11623181346
a31	0.491228496	0.1190593318	0.1134346148	0.17561934674	0.1006581506
a41	0.34884916	0.147085789	0.1204857652	0.1978737536	0.1857055062
a31	0.358079106	0.1526715512	0.1356338364	0.1792496162	0.174365868
a35	0.2021946948	0.226937862	0.1378963692	0.2437133212	0.1892577548
a31	0.17189207	0.133105222	0.1538666812	0.268902056	0.27223396
a8	0.210823896	0.224216268	0.13241989	0.236049305	0.19649064
a20	0.1343551048	0.139171974	0.152058015	0.301661454	0.2727534608
a31	0.243339159	0.136858956	0.131909678	0.246690902	0.24120133
a37	0.194455512	0.194902248	0.161653232	0.25495151	0.1940375306
</S>	0.186718996	0.1492519836	0.1368323	0.287240914	0.239955791
