 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a23	0.08396961846	0.0392159793	0.0584600013	0.04361960524	0.0645638676	0.07773620512	0.019935587316	0.0477037936	0.11015099092	0.14416649	0.31047788132
a31	0.0637657387624	0.07442822552	0.2714863708	0.186376968	0.0866123654	0.09815316714	0.032483066318	0.076827602504	0.087048159571	0.017920185614	0.0048981632
a20	0.026831383436	0.01930588072	0.168881164432	0.085234713768	0.09642867322	0.12074573264	0.10318284498	0.21726320754	0.035249845836	0.11606988314	0.0108066813272
a13	0.04885705058	0.1398486298	0.0506523422	0.0616320012	0.0718910081	0.21604116952	0.04337266463	0.08307432174	0.11496999208	0.0646088066	0.10505201266
a37	0.03883801338	0.1464497344	0.112319178	0.117813992	0.1075384718	0.0981718328	0.037133710188	0.0873641527	0.1045879339	0.1184164852	0.03136649358
a31	0.06607552332	0.1396522322	0.1145199226	0.1435714732	0.102153538	0.0756792494	0.0496936182734	0.073134647366	0.0835257172	0.115057824	0.03693624312
a43	0.049245215736	0.0339493613	0.04484700154	0.06953050312	0.09326965504	0.04883487054	0.07816284475	0.07857231868	0.08198527332	0.359462022	0.06214090678
a31	0.0578358628	0.053831612	0.1239191426	0.084123393948	0.09351205726	0.10630791758	0.151991912106	0.0416820437	0.0618350732	0.1935077284	0.03145323202
a24	0.151795712648	0.0235993438	0.05140853848	0.0705616345	0.08416532634	0.12073562336	0.192903044713	0.0626744194	0.06262692996	0.1400391392	0.0394903043
a7	0.0292345678	0.0645740498	0.03832857846	0.06781850014	0.08223392714	0.16356405929	0.24000795664	0.0373233994	0.1034063128	0.130014039	0.0434946002
a31	0.050066677	0.083411396	0.045985317	0.07888102016	0.11445692504	0.191452103866	0.209680944626	0.0483294386	0.06453814394	0.08819201446	0.025006023472
a13	0.1226111116	0.0304429472	0.0588334782	0.082683679	0.0915123946	0.0981539258	0.206431642643	0.0503373313	0.06199003332	0.119928426	0.0770750266
a28	0.0559704234	0.0883528616	0.0552284566	0.0703030582	0.1335490014	0.19386420584	0.19607482572	0.0218574774	0.0654604362	0.0676212954	0.05171795198
a20	0.0691331548	0.0916819974	0.0502377794	0.0756751672	0.1389747788	0.2318456426	0.135520487874	0.01516164068	0.05437344474	0.08907819	0.04831770666
a31	0.0889966578	0.0837834176	0.0503107664	0.0778709788	0.129932421	0.2349462664	0.18583955953	0.0283206506	0.040545174266	0.0449852064	0.03446892444
a37	0.0649196585	0.0489724412	0.0794554328	0.1252674172	0.1313650548	0.1165865164	0.11417913162	0.05502669286	0.0539104731	0.144804998	0.06551217168
a1	0.16485551394	0.0895860672	0.050972407	0.082789258	0.16469538	0.1753843366	0.09332813945	0.02153622684	0.04022806804	0.0585567218	0.0580678886
a28	0.13284367526	0.0721962392	0.0959218048	0.1392395826	0.161024702	0.196419598	0.0663412831192	0.0235722158	0.02871473036	0.037858259	0.04586789856
a1	0.14798063104	0.0509798584	0.0491226704	0.09571233	0.144149254	0.2569017934	0.0618159356672	0.0265726926	0.03231564144	0.0400113174	0.0944378804
a28	0.14503211646	0.0656483768	0.069880528	0.1314996396	0.1632024128	0.208005622	0.043490089927	0.0313575184	0.032557586	0.041994097	0.0673320074
a31	0.1407091332	0.0598534718	0.0547152306	0.093700774	0.15710647	0.215231014	0.051199459434	0.0372883618	0.0369043428	0.0410323568	0.11225938914
a20	0.0510776716	0.048370185	0.0897758318	0.1440541732	0.175868362	0.1914300948	0.0500813810944	0.05772512306	0.03774794364	0.0630347292	0.09083448746
a31	0.13409125796	0.0700483624	0.0707093668	0.105572664	0.1361266668	0.1620452412	0.05080972704	0.054329359	0.045289759	0.0652924532	0.1056851422
a20	0.05292927826	0.06953155394	0.0945423092	0.125385533	0.1446717284	0.1464047632	0.0482908902052	0.0572148538	0.04301978814	0.0867916472	0.131217674592
a31	0.0966110968	0.0648877138	0.0658151208	0.1048178102	0.130644694	0.1439634512	0.047927323256	0.0589738144	0.0534681072	0.0865318418	0.1463590248
a8	0.0588645876	0.07131898272	0.07912185372	0.0994052648	0.13960396	0.1468375462	0.0533463100102	0.0661593326	0.05274349164	0.091938544	0.140660156428
</S>	0.13909707172	0.0763769978	0.0572864054	0.0804518612	0.1132098994	0.126263596	0.043078966528	0.0698779414	0.0493938088	0.0926824924	0.1522809942
