 	l'	ho	sentito	quando	veniva	</S>
a31	0.1810286478	0.12995067788	0.3324786234	0.163811407879	0.1011282876	0.0916023366264
a46	0.2400864201	0.2497606886	0.115302008	0.1552422589	0.21932248698	0.02028612528
a41	0.114152343196	0.1543489134	0.245768187	0.09952026274	0.1973326051	0.188877662781
a31	0.12127875984	0.2839020292	0.1442472252	0.083950435	0.14360225123	0.2230193037
a24	0.21050700572	0.1691304434	0.11767484494	0.221337042236	0.056696947846	0.224653722956
a31	0.1668254064	0.1911250404	0.2120921306	0.17845782594	0.11788078756	0.13361880604
a15	0.41961499754	0.1845339694	0.1131459542	0.10138699366	0.081442844	0.099875253
a46	0.132989680928	0.05890431188	0.1706538448	0.233919515	0.1321858592	0.271346776
a31	0.11885518764	0.1701099859	0.154615862	0.1283949412	0.1689322872	0.259091748
a0	0.1620750363	0.1858320889	0.150494937	0.081421228	0.203026678	0.217149994
a41	0.18631171764	0.2203594712	0.1640029366	0.0889008868	0.1398971166	0.200527856
</S>	0.18606830148	0.1952603452	0.2172910718	0.1034643362	0.1428265486	0.155089368
