 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.1038815892	0.1646784409	0.09174948236	0.1737249264	0.1067916862	0.1372243966	0.2219494404
a8	0.131392763168	0.064060122102	0.174316512	0.3805232214	0.1744435706	0.06038132978	0.0148824679641
a20	0.024312519444	0.1571050417	0.1009727328	0.2888890382	0.24931284952	0.16490621192	0.014501633018
a8	0.046561056092	0.0619862632	0.121570681	0.2295231631	0.17834472014	0.29714321972	0.0648709364
a31	0.0566241428834	0.1390234414	0.1439834374	0.2169729894	0.0871040199	0.273450446806	0.08284151673
a37	0.021351185406	0.11559390814	0.1634627202	0.2756846	0.0918273828	0.305438307226	0.02664188496
a10	0.0776398043358	0.19540345732	0.1036925288	0.37926108924	0.0391613366	0.17379116074	0.031050628976
a31	0.17414279947	0.1650646008	0.1019663776	0.1776212274	0.0789804016	0.2083645678	0.0938600671
a21	0.060743560268	0.126540283794	0.1253953268	0.3085251334	0.1192428764	0.2431737634	0.01637908572
a31	0.182168604488	0.20118916686	0.148962987	0.20517038386	0.04647831334	0.173646103404	0.04238441482
a10	0.0420043264	0.14377041039	0.12953889406	0.3019213	0.154573174	0.19627873672	0.03191316734
a17	0.14183510862	0.0856484004	0.14914372766	0.2890673046	0.127094822	0.14311684004	0.0640937808
a20	0.20730725328	0.0967402441	0.1727376884	0.2549489816	0.0867615434	0.11074691354	0.0707573832
a31	0.2096657528	0.1443873388	0.1368824718	0.1662801728	0.0994338892	0.1212346823	0.1221157108
a39	0.1095095564	0.08276852625	0.0896186512	0.243505946	0.1199989132	0.11594894	0.23864949488
a31	0.1220670928	0.162965784	0.0900174668	0.25784089	0.111540904	0.1146610708	0.1409067816
a8	0.155328922	0.09859413594	0.0692563592	0.2234401384	0.1212900658	0.111632735	0.2204576254
a39	0.1386591432	0.16112382514	0.0886029324	0.17906721	0.1223648146	0.1234326106	0.1867494912
a8	0.1856108794	0.12519133554	0.082632639	0.1753655114	0.1342040428	0.1332660718	0.163729511
</S>	0.1733133784	0.17122660628	0.0971387602	0.207618164	0.1150850024	0.1221839772	0.1134341046
