 	non	deve	magniare	la	sera	</S>
a20	0.1120897304	0.062201547744	0.142946487384	0.208141241	0.346327954	0.12829304634
a31	0.284390795	0.2641523874	0.022463923874	0.146244552	0.166525355622	0.116223023
a18	0.15492562874	0.0336435428792	0.0130504790284	0.42505216408	0.3652439286	0.008084249137
a37	0.02038464214	0.0480911589144	0.134219796318	0.3055911276	0.4281841982	0.06352909979
a18	0.11195124782	0.0822835519	0.0361908559	0.33845423872	0.309703519	0.12141656904
a31	0.2754324298	0.0440395238	0.01858551072	0.1653729106	0.3438875912	0.152681995928
a13	0.3002806776	0.1810664838	0.0114336209	0.076658009	0.2349563386	0.19560483134
a31	0.25994879356	0.1497981216	0.069098579128	0.135442538	0.2701030144	0.1156089168
a17	0.1518273126	0.0976775924	0.08694035888	0.1539442212	0.305113694	0.2044968054
</S>	0.0923434644	0.0745221446	0.09424866808	0.140706454	0.375571382	0.2226078986
