 	che	non	li	aspettiamo	</S>
a20	0.39946797574	0.092334162846	0.08971111474	0.1004988644	0.3179879044
a8	0.3870605846	0.2271015917	0.19260544044	0.178579885559	0.014652498366
a7	0.41714183	0.1952038798	0.0228022825572	0.210787200412	0.15406482268
a35	0.38844529668	0.11101615226	0.223993832956	0.187015667361	0.0895290583
a46	0.467121299	0.10505376266	0.196407881434	0.1743366111	0.05708041912
a31	0.450716406	0.1931779066	0.07088983312	0.193098744919	0.09211710284
a11	0.490903388	0.1408394076	0.08549647692	0.1578946291	0.1248660552
a31	0.2871584468	0.2582863152	0.12083547608	0.19256202352	0.14115773
a0	0.31425143	0.1722410052	0.09132705514	0.2320446492	0.1901358614
a31	0.2156283186	0.1516562984	0.14518393908	0.2314705658	0.256060837
a30	0.1162391086	0.1157332374	0.127686838	0.206058166	0.434282652
a0	0.249516927	0.1066461816	0.1029484331	0.2495203828	0.2913680556
a31	0.1672303086	0.133478606	0.1061434526	0.342391892	0.250755748
</S>	0.120430393	0.127470858	0.114766653	0.2331491768	0.404182918
