 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a31	0.128388385314	0.043570728966	0.09163317852	0.0960751492	0.1211603546	0.0674814894	0.0407108553312	0.1054512158	0.1220377036	0.183490922494
a24	0.003049334748	0.0476235772378	0.14491121818	0.0855009882	0.390706322	0.0771495446	0.009099959675	0.099912482796	0.11149579306	0.030550773752
a16	0.009958786244	0.0934368306029	0.170805120828	0.179619751	0.216120465	0.0794870034	0.0351526471099	0.03861604929	0.0572550681568	0.119548308541
a28	0.00654195766	0.15277771484	0.22346265948	0.204153477172	0.166419534	0.0980061006	0.034936455546	0.026332763544	0.022524458204	0.0648448899762
a31	0.00918664992	0.1646584233	0.18521684452	0.26245838194	0.16942639	0.1308558832	0.019994347782	0.02050094367	0.015835275026	0.0218668921024
a37	0.00812350166	0.118570150154	0.127398294528	0.240729888786	0.2773304682	0.106431482	0.0341733318102	0.01956865925	0.017814945652	0.0498592750516
a24	0.035257200348	0.10582155168	0.189487684	0.22137226498	0.2043051466	0.098751628	0.051337699632	0.05551205848	0.022521961808	0.015632790736
a46	0.041703606	0.0881617806	0.149708978	0.2058269032	0.2622717524	0.0995521836	0.05889648707	0.0441772579	0.03778882714	0.011912219966
a31	0.04165144192	0.06335848466	0.1054090824	0.2294044398	0.380310992	0.0845065266	0.035073094806	0.018048901188	0.03092805456	0.011308986394
a10	0.034072794	0.1103063608	0.093131888	0.192923752	0.298859024	0.0726769636	0.048715974458	0.0724597873	0.05135076464	0.02550269376
a11	0.03544475324	0.10644559794	0.1269824736	0.185728198	0.254688822	0.116891369	0.04967331469	0.0335015948	0.04577333754	0.04487056066
a31	0.04809134806	0.0822220468	0.0949325772	0.1759578148	0.2588967348	0.1600072406	0.05377255968	0.038941243908	0.04139075197	0.04578768089
a0	0.0531520989	0.159967213	0.1029440436	0.152755508	0.285667984	0.087223711	0.045290248668	0.06428785574	0.03227588434	0.01643543624
a31	0.0203627249	0.08055165692	0.1165875394	0.195918561	0.2856991314	0.0552513808	0.0467166026472	0.03965722374	0.0678198614	0.09143531426
a39	0.055716292566	0.1793321696	0.136006422	0.16518959	0.211795822	0.0905848708	0.042095476888	0.057139637	0.03683514892	0.02530458897
a29	0.03199666502	0.12123364192	0.1449355878	0.1904665972	0.2433370494	0.0538403328	0.046838033715	0.06901042346	0.05631679366	0.04202486546
a41	0.02991873077	0.1400192328	0.1358063948	0.2204799512	0.2768337172	0.0494082174	0.0336460385654	0.04756854626	0.04165117082	0.02466803405
a35	0.039790360586	0.1656669869	0.11458629674	0.1826439096	0.260275076	0.0720119514	0.0341915944038	0.05282907004	0.045150832706	0.032853903084
a20	0.043049860074	0.1706564972	0.09258252354	0.1840685066	0.2581537428	0.0785134916	0.037056557062	0.0521612443	0.049618251128	0.034139323462
a31	0.036790896667	0.18819021068	0.10922468616	0.176026093	0.266594157	0.0614758016	0.0340942328256	0.043791569724	0.0481185255952	0.0356938459052
a37	0.01793953972	0.23644641284	0.11131338052	0.1662898416	0.2693320696	0.054840196	0.035440997034	0.04266812548	0.03671787164	0.02901152698
a2	0.0336315919154	0.216268714	0.0860961226	0.1575818176	0.2556178218	0.0511778562	0.0404279655908	0.04790382986	0.0511118873	0.06018235308
a20	0.03328934406	0.1572805142	0.1266284672	0.1516899162	0.2001552752	0.0580808132	0.045530216819	0.05107080846	0.0592792402	0.1169954083
a0	0.056043080934	0.2333135724	0.0811779642	0.1307636558	0.1625671078	0.0628563292	0.052771953954	0.06444177894	0.08040619354	0.07565840056
a31	0.04758387927	0.1388622004	0.08361461592	0.1524617262	0.247790074	0.0577647976	0.0480220721505	0.0527655028	0.0700327072	0.101102417466
a16	0.044821550374	0.1528639658	0.14322513	0.1391399768	0.150809292	0.0637915348	0.050695843635	0.05773654372	0.0661201553	0.130795978654
a31	0.068879009424	0.2331206776	0.0815625922	0.1100651238	0.143983352	0.06231351446	0.0539239139152	0.0690064147	0.0867831673	0.09036223784
a20	0.052722260824	0.1476554376	0.174365745	0.1353994672	0.0827324816	0.0700255598	0.0597960605554	0.06804907968	0.07459488602	0.134659013232
</S>	0.101995612428	0.2355589946	0.0842800134	0.0910934674	0.0858995128	0.0599202992	0.0531943343648	0.067270266	0.1040446145	0.1167428596
