 	forse	stanno	ancora	svegli	</S>
a31	0.1970607806	0.2754492126	0.0900279954	0.1278856052	0.30957637706
a10	0.253083781541	0.222119645591	0.2111052047	0.168822437688	0.144868905666
a20	0.239496643684	0.195329029319	0.27482271012	0.087766776686	0.202584854901
a31	0.323436129679	0.172993976024	0.2356307772	0.184886711992	0.08305240028
a18	0.215040870377	0.354292929633	0.14152036124	0.189777220187	0.0993685809196
a31	0.338175390058	0.257908021446	0.1925075218	0.16469360204	0.0467154981372
a35	0.276141472952	0.3144362309	0.1226126874	0.1748687634	0.111940819348
a31	0.453931229263	0.212712053742	0.0952750564	0.11966771948	0.1184139121
a10	0.2475931876	0.2383960532	0.15852147	0.201485544	0.1540037708
a20	0.31215702894	0.2368569514	0.233834962	0.136359203	0.08079189086
a29	0.21622175422	0.2098145374	0.2381021362	0.196438316	0.13942328214
a20	0.2178037656	0.2811633072	0.1671066026	0.153722768	0.1802035554
a31	0.216653936	0.22848526	0.177970824	0.2051229812	0.1717669832
a28	0.1896839134	0.279182714	0.1581346754	0.1926318332	0.18036684892
a8	0.1396322812	0.2599790048	0.11542647	0.261495096	0.223467186
a21	0.1866778242	0.262687549	0.1237661054	0.225763181	0.20110529708
</S>	0.231377332	0.1786743848	0.149420176	0.264424526	0.1761035656
