 	lo	sentii	che	viene	</S>
a43	0.394224804	0.0820289248	0.1404675164	0.2524094834	0.130869244812
a17	0.2579963452	0.3201653432	0.21200589472	0.1897610638	0.02007137184
a11	0.59608394	0.0835736688	0.0324495766	0.2786538304	0.00923900448
a31	0.2439448382	0.11389933758	0.2531041172	0.34269257	0.0463591638
a46	0.19849505	0.1311291384	0.3637935614	0.29812989694	0.00845236152
a6	0.275338592	0.23617503348	0.2298685652	0.234518627	0.024099186952
a31	0.3359678438	0.25920123468	0.170939936	0.2107434968	0.02314749152
a15	0.2532312376	0.343744705	0.19704975172	0.19510170034	0.01087259394
a20	0.455651708	0.06753698668	0.15062262872	0.2584127714	0.06777592976
a31	0.2853660066	0.2086531636	0.234114403	0.1777095932	0.09415682928
a17	0.16864009	0.27064627206	0.2600358108	0.2304958072	0.07018204464
a31	0.2056583772	0.226700739	0.213237596	0.2495320052	0.1048712936
a13	0.1124726464	0.262829661	0.281533181	0.2399563096	0.1032081818
a39	0.1800069814	0.211742054	0.235323456	0.226518886	0.146408626
a46	0.1493746746	0.2883691146	0.229847628	0.16558154	0.1668270506
a31	0.1597288002	0.2355902954	0.2070023156	0.181054228	0.2166243792
a18	0.1104944784	0.2460522844	0.19622481	0.2689453472	0.1782830712
</S>	0.137816266	0.1842350526	0.2278636	0.192591786	0.2574933204
