 	venne	scritto	</S>
a31	0.31300008	0.40246966	0.28453026004
a28	0.568328603	0.21371920228	0.217952187881
a8	0.3740643362	0.6002427214	0.02569293393
a31	0.4574570232	0.342488112	0.2000548758
a20	0.37585303358	0.51602887916	0.108118117691
a31	0.4257105846	0.36221177884	0.21207766508
a13	0.484238576	0.400760148	0.1150012748
a29	0.284961422	0.48654927	0.228489296
a39	0.53227633	0.352621638	0.115102043
a31	0.50456373	0.3122363	0.183199988
a35	0.388293586	0.370979422	0.240726972
a31	0.398390088	0.367810854	0.2337990432
</S>	0.279955434	0.377493888	0.3425506836
