 	non	ci	dimentichiamo	mai	</S>
a31	0.31083849978	0.04114178622	0.139622304	0.22090862318	0.287488805
a20	0.31407388164	0.32152509134	0.11202596836	0.178310927274	0.07406414838
a31	0.2293360496	0.35270546506	0.132778860962	0.143968129853	0.14121147942
a11	0.558924576	0.2428232841	0.04379571178	0.115605500462	0.0388509118
a20	0.13757645435	0.33085817968	0.146149325594	0.26629344032	0.11912258024
a31	0.34211754762	0.19212568218	0.05112491324	0.2441973222	0.1704345348
a11	0.43811354176	0.1454886252	0.10607263676	0.1793705704	0.1309546158
a31	0.2550665173	0.19553405424	0.128641865446	0.2391480495	0.181609492
a18	0.2176848474	0.2919250712	0.1541178084	0.2322983838	0.1039738894
a42	0.2269388017	0.236302760154	0.14365151354	0.2658696502	0.1272372892
a31	0.1444264492	0.30511585262	0.11405475408	0.2851734109	0.1512295152
a18	0.2262158102	0.1734909252	0.1954534228	0.254395968	0.150443894
a31	0.2258760604	0.19425992438	0.1305110234	0.291294186	0.158058802
a39	0.235089236	0.1644658586	0.2171641496	0.2301653048	0.153115421
a31	0.2492890218	0.15890748256	0.140835896	0.275425888	0.175541718
a20	0.286809231	0.173720203	0.2207753152	0.16777535	0.1509198792
a39	0.2442174152	0.1320786506	0.155871168	0.2579010128	0.20993175
a31	0.221730844	0.158426424	0.166548317	0.239814906	0.213479522
a14	0.299796192	0.162278592	0.2303417176	0.154211881	0.1533716246
a46	0.225671448	0.1726282846	0.148347512	0.235832686	0.217520044
a20	0.223515944	0.146592909	0.151772764	0.244596816	0.23352156
a31	0.201131508	0.1574453654	0.167990634	0.24162585	0.231806676
</S>	0.288087776	0.1713498572	0.1881449406	0.181787028	0.170630408
