 	stava	ancora	cucinando	</S>
a8	0.30779595502	0.1139176662	0.22393365764	0.3543527248
a46	0.171193668394	0.4035447288	0.301394291891	0.123867313946
a24	0.204092998362	0.441346605	0.317301193841	0.037259207101
a37	0.0659280547282	0.5216661084	0.291545286086	0.12086057006
a20	0.0923171503995	0.5292151412	0.231448792582	0.1470188819
a31	0.119962346144	0.5011650984	0.215970715954	0.162901810052
a37	0.202663524376	0.4020227972	0.29021240032	0.10510131192
a31	0.022925458014	0.4148024772	0.31377270826	0.24849933282
a20	0.0899805374	0.414672092	0.3832084372	0.1121389462
a31	0.061678448	0.2727333172	0.4028893356	0.262698878
a6	0.1301628608	0.21745501	0.30606783	0.34631427
a31	0.1487279554	0.19424673	0.383883672	0.273141665
a20	0.184303569	0.163207132	0.29872919	0.3537600876
a46	0.2590892922	0.16083035	0.333407618	0.2466727064
a31	0.241840303	0.137938226	0.346798786	0.273422716
</S>	0.1857010766	0.187390766	0.373979994	0.2529281832
