 	che	vende	buon	pane	</S>
a17	0.1814896066	0.1984664854	0.1023461884	0.20800056	0.3096971174
a31	0.2270236236	0.2470455339	0.1877882052	0.14770666974	0.1904359488
a11	0.1707118612	0.25411210966	0.05764402874	0.3225886804	0.19494336915
a39	0.14364348544	0.22261151652	0.20574851628	0.1855187298	0.242477742929
a35	0.19830544422	0.1553009018	0.059259637	0.312667384	0.2744666236
a39	0.37810141408	0.128909562	0.0721654094	0.194267232	0.2265563982
a31	0.282936275	0.2463676688	0.1002227558	0.154950702	0.2155226044
a24	0.2953642144	0.3466613158	0.062624324	0.2275515024	0.0677986362
a18	0.32211064	0.1778009842	0.0935191014	0.1985039894	0.2080652752
a31	0.202065834	0.234421879	0.1465188036	0.1768862564	0.2401072416
a13	0.152725516	0.2148140492	0.199160442	0.257455048	0.175844942
a31	0.1891408704	0.1845210534	0.148734849	0.2232114412	0.25439179
a46	0.148819934	0.157401983	0.186112676	0.262658824	0.245006596
a8	0.15692467372	0.219372432	0.1838519234	0.209505302	0.230345696
</S>	0.2006460372	0.21443678	0.2380798392	0.174525904	0.1723114072
