 	qui	dentro	vuole	un	tappeto	</S>
a31	0.267166126	0.2230926924	0.17927711077	0.0986882342	0.1575810394	0.0741948019
a18	0.22510854241	0.1011242524	0.241983736307	0.0289761228	0.3874798936	0.01532742928
a10	0.0254076586109	0.0070462884	0.119208916161	0.187107321	0.62322856	0.038001267
a31	0.0841533717908	0.02662980233	0.183228000291	0.1535416262	0.397396778	0.155050418
a14	0.072261514592	0.02786373908	0.232384013764	0.1632413348	0.3982382318	0.10601116528
a31	0.053801517622	0.00997417688	0.269538401661	0.1856631084	0.3752506842	0.1057721265
a39	0.108286844	0.10145177432	0.193215362888	0.192988762	0.283069184	0.1209880548
a31	0.08985481768	0.01714037202	0.109790710158	0.275739049	0.432721254	0.0747537878
a39	0.1458437576	0.066289452	0.10512528249	0.17413492	0.35144531	0.1571612906
a33	0.0552470138	0.07394342574	0.14000506049	0.196107592	0.41184296	0.1228539466
a31	0.1545887534	0.1721542042	0.11507611886	0.0980537912	0.2878082316	0.172318906
</S>	0.255260617	0.11216471	0.085129191	0.143759367	0.1945223592	0.2091637269
