 	vestita	la	figlia	l'	avevo	portata	alla	chiesa	</S>
a31	0.07111838222	0.1283279648	0.1032538092	0.0948046224	0.11672546892	0.0392388924	0.04386380918	0.077683006	0.32498404456
a16	0.025717832884	0.11591425928	0.132643624	0.16484053946	0.13778442486	0.31668133976	0.0509674812	0.0505302177	0.0049202460278
a31	0.03270230952	0.0542127839	0.095653175482	0.1620637524	0.2079447998	0.323015667251	0.01636368844	0.039057220156	0.0689866320467
a24	0.0389954859072	0.050426743708	0.08132322875	0.15808043802	0.16648265974	0.258705758206	0.076610967606	0.132905598814	0.0364691072648
a28	0.032869848578	0.0348523808	0.1314100312	0.155125527	0.29787247	0.194719687552	0.0412538545	0.07103363288	0.0408625587092
a31	0.06441989634	0.0637102404	0.1259012772	0.1568907852	0.320620068	0.0889056048	0.08805692812	0.0487726726	0.04272250896
a41	0.05529207684	0.0728321222	0.1361291138	0.1346869776	0.232452966	0.1124273045	0.11005432474	0.091300728	0.05482438494
a31	0.034239587668	0.0767230392	0.1283525028	0.1167912888	0.238444654	0.07826986074	0.16710459852	0.0680421434	0.0920323316
a28	0.0300359198	0.0793428234	0.09529609772	0.08813000814	0.1417700852	0.14590953326	0.1920496117	0.173652808	0.05381310576
a20	0.1132403513	0.0654129752	0.108542463	0.09464563334	0.1548869174	0.1173077846	0.115516934	0.09191195	0.13853495912
a46	0.16230355192	0.1033117838	0.164875719	0.1074807504	0.1783405878	0.0667615084	0.0927500566	0.0611007752	0.06307525028
a11	0.1687276774	0.0936113174	0.168350192	0.1293043306	0.1926202184	0.06691432214	0.0809743963	0.0465360968	0.0529614417
a46	0.0481167486	0.1385153276	0.1239034268	0.0907898214	0.1963995384	0.09153761782	0.05747633646	0.1286963842	0.1245648029
a31	0.06043893508	0.1291926546	0.154407664	0.1238070434	0.227642044	0.08516006208	0.06022262824	0.08696396134	0.07216500122
a17	0.01888138064	0.057754393	0.0924212394	0.07729271	0.1892059676	0.17585625248	0.09788985934	0.2109506152	0.0797475911
a31	0.1329110842	0.0876292334	0.149468598	0.1177823124	0.209797294	0.09463207676	0.03738956134	0.0884125556	0.08197725374
a20	0.08360555096	0.0810349864	0.123594686	0.0878643756	0.1664397936	0.10404500824	0.07174928624	0.139161228	0.1425051177
a31	0.117205315	0.1086877852	0.129213907	0.1067573184	0.195699176	0.07851061956	0.05307226914	0.1017202194	0.1091333808
a13	0.07656501516	0.091831123	0.1051699548	0.0950421208	0.167849378	0.13048199554	0.06873602714	0.11452625	0.1497981587
a18	0.12410855704	0.1069875694	0.1219598534	0.10983545	0.1960770808	0.0827124911	0.0485439352	0.0877038496	0.12207122406
a13	0.14856664176	0.1256501018	0.123751498	0.1049620792	0.2000034088	0.06381456108	0.05417996914	0.0686410302	0.11043071178
a31	0.14893895994	0.1157326354	0.120596744	0.1057331198	0.2001630052	0.06282293402	0.05751219648	0.07279126892	0.115709150606
a18	0.0865928062	0.0995450766	0.1074966202	0.1024802444	0.1816663594	0.11684597144	0.06930443922	0.1013655978	0.13470285372
a3	0.1306119816	0.1024860448	0.1065927266	0.1001743512	0.193652871	0.05728902348	0.05326302876	0.0889447011	0.16698529018
a0	0.15320203478	0.0991422658	0.1075087912	0.110675484	0.213089056	0.06348130792	0.06104276386	0.07315034796	0.11870793104
a20	0.14306104288	0.09856533396	0.109212258	0.104904922	0.215274336	0.067396343008	0.068594964292	0.0758645558	0.1171262424
a31	0.12970419352	0.0927333446	0.106516945	0.100645262	0.220106608	0.070369852532	0.0737703103	0.08101923572	0.12513427526
a13	0.0765517724	0.0930467432	0.1147601	0.1183140714	0.2005612588	0.09012239934	0.086487945224	0.1174799194	0.102675818936
a31	0.11422229936	0.10028368708	0.103992772	0.1090969784	0.2259242832	0.072369421614	0.07087684914	0.08105727752	0.12217642046
a20	0.0769799594	0.080708198	0.1016522408	0.10335305	0.2043388158	0.10730994512	0.09584938921	0.1107517412	0.119056702468
a13	0.11921535884	0.08670479726	0.0929814926	0.0964709828	0.232058001	0.06912041766	0.06978003627	0.0903379432	0.14333099114
a20	0.11253774598	0.09056974384	0.099522788	0.109265232	0.244766652	0.07856532006	0.079076427872	0.0837172702	0.1019787972
a31	0.11046391472	0.09185957584	0.10111656	0.1023174122	0.2459191912	0.08132553328	0.0819074205	0.0862574816	0.09883291556
a17	0.07285912814	0.07709438196	0.0989605396	0.101991546	0.2140274444	0.10923809416	0.091874552443	0.1127105239	0.121243750467
a20	0.10297835512	0.08757676328	0.0991470702	0.1025047628	0.2465640622	0.08098451198	0.080846033816	0.0896942338	0.10970423586
</S>	0.10307749	0.09000343472	0.0990755142	0.1007082236	0.2456548632	0.08222212444	0.0832516354	0.0936031434	0.10240357516
