 	il	vestito	della	sposa	vuole	bianco	</S>
a17	0.171606128	0.0989587962	0.1621250835	0.19781138392	0.01665295224	0.0679465767	0.28489903294
a31	0.0868446401268	0.109131960296	0.31843957538	0.2253777434	0.0295934109	0.19337301352	0.037239708496
a17	0.09446134424	0.0498079386	0.425339912	0.1375101686	0.0330633628	0.1635017696	0.0963155007655
a31	0.028308719486	0.02867446736	0.3814451902	0.2663652243	0.04637157916	0.13819564082	0.11063919085
a14	0.0225905595636	0.01465026542	0.4302294536	0.22670900208	0.04642326788	0.20101148576	0.058385933474
a17	0.0411437413164	0.06235428382	0.314599982	0.272914594	0.044582028168	0.19566210724	0.06874325064
a31	0.0679695435402	0.060473616526	0.3204029754	0.2108418992	0.0638342479	0.19405293574	0.08242479378
a11	0.137567063318	0.08992834844	0.2137178852	0.2231227718	0.1460548319	0.14400764774	0.045601490174
a35	0.063689341416	0.03401652418	0.233624424	0.289169044	0.13066351476	0.13338025706	0.115456897732
a38	0.110541273144	0.04989201716	0.18377747	0.3254614672	0.13262035162	0.11017260096	0.087534822366
a31	0.1355048516	0.0527289908	0.1385743076	0.384617122	0.13592212264	0.054137252472	0.098515424377
a21	0.048536044964	0.08623317656	0.2635009304	0.331347308	0.1420993508	0.07217093764	0.056112249386
a31	0.124257067272	0.03379895516	0.1321223558	0.373030508	0.14963740916	0.0959157147	0.09123800072
a24	0.046637323306	0.06084543905	0.14574201	0.335975476	0.1479411562	0.11002507866	0.152833512578
a8	0.1299270837	0.045755624	0.1388054264	0.309053079	0.19216821312	0.101648873	0.0826416996
a23	0.09138234168	0.0474494354	0.20817924	0.324912126	0.1548743386	0.0882160565	0.08498647266
a31	0.14454824014	0.0728379536	0.220476751	0.2617619448	0.1307111962	0.08407758	0.08558634134
a8	0.10840136076	0.08255456228	0.1624027092	0.262622918	0.12737905614	0.11861279832	0.138026572432
a23	0.1268716689	0.0880426398	0.25133055	0.2212279752	0.1335145244	0.1000070204	0.0790056672
a31	0.11072800226	0.0983379534	0.2486023628	0.218419504	0.134778132	0.1006030806	0.088530972
a10	0.09496949948	0.08163740764	0.1354325336	0.2444191086	0.13169670256	0.1515437465	0.160300988374
a37	0.1201383106	0.0951870346	0.225813522	0.18667891	0.124281825	0.1122525706	0.1356478278
a46	0.13164371792	0.112307147	0.21137988	0.182690514	0.119790602	0.1065968606	0.1355912803
a8	0.09967630506	0.1266318888	0.219736569	0.194531606	0.1244622076	0.1108214332	0.12414002884
a31	0.13700010756	0.140706707	0.223245456	0.2004373292	0.116498596	0.0985809972	0.0835308062
a20	0.0968451901	0.08473256896	0.1441397468	0.2531701368	0.1311453868	0.1443787117	0.145588262
a8	0.12420120634	0.1163981502	0.2251441808	0.178653092	0.1216950956	0.1093526276	0.1245556642
a13	0.14656353944	0.1561082777	0.22632222	0.1766641752	0.108229326	0.0928039544	0.09330852424
a18	0.15838624376	0.1281072977	0.216452251	0.17015913	0.1109835452	0.0964362868	0.1194752352
</S>	0.19832540448	0.1214961018	0.2105059046	0.168734874	0.1078277644	0.0901093712	0.10300060116
