 	non	ha	che	li	aspettiamo	</S>
a46	0.312390758	0.0733508044	0.17015585906	0.0857645524	0.2041956358	0.1541423908
a31	0.043375587	0.385662257636	0.3043904082	0.020609643684	0.186151872614	0.05981021574
a15	0.2954268166	0.324910441216	0.06834194634	0.011115565172	0.193818942936	0.106386241632
a31	0.07896455052	0.390063194288	0.1884095516	0.047739148986	0.19125908544	0.10356450294
a28	0.1210940796	0.19570476988	0.3868019412	0.058789949708	0.18307083496	0.05453840036
a20	0.08771839668	0.21272440858	0.3426324668	0.0688112571	0.192373968066	0.09573951032
a11	0.1472428858	0.282223526312	0.278769878	0.0327308724	0.172995225588	0.086037606
a31	0.1705500922	0.2000714381	0.2777454216	0.0673183785	0.17182250923	0.112492159
a11	0.2445163658	0.31850319098	0.102700849	0.0415937948	0.183735012	0.108950795
a31	0.15476322322	0.17376346758	0.2412238898	0.04860382328	0.228825612	0.15281996
a46	0.203902174	0.2011131668	0.0899594208	0.047869162	0.266546218	0.1906098592
a31	0.1369763788	0.14079107726	0.1221039868	0.0907382792	0.2481279488	0.261262298
a11	0.296546025	0.153144877	0.1192363638	0.0772565686	0.13643513	0.217381066
a31	0.149052782	0.1215731429	0.124766804	0.124897496	0.243332743	0.2363770248
a11	0.275444394	0.14306474	0.152090495	0.109032101	0.1299910792	0.190377196
a46	0.18468541	0.1536501772	0.125955891	0.1081634652	0.2277676252	0.199777406
</S>	0.224220869	0.1169227094	0.1164313528	0.1031966042	0.2377848668	0.201443626
